announcement_date,effective_date,index_name,action,company_name,ticker,gics_sector,source_type,source_url,notes
2024-09-24,2024-10-01,S&P 500,Deletion,Bath & Body Works,BBWI,Consumer Discretionary,S&P DJI Press Release,https://press.spglobal.com/2024-09-24-Amentum-Set-to-Join-S-P-500-Bath-Body-Works-to-Join-S-P-SmallCap-600,"Removed following Amentum addition"
2024-11-21,2024-11-26,S&P 500,Addition,Texas Pacific Land,TPL,Energy,S&P DJI Press Release,https://press.spglobal.com/2024-11-21-Texas-Pacific-Land-Set-to-Join-S-P-500%2C-Mueller-Industries-to-Join-S-P-MidCap-400-and-Atlas-Energy-Solutions-to-Join-S-P-SmallCap-600,"Replaced Marathon Oil"
2024-11-21,2024-11-26,S&P 500,Deletion,Marathon Oil,MRO,Energy,S&P DJI Press Release,https://press.spglobal.com/2024-11-21-Texas-Pacific-Land-Set-to-Join-S-P-500%2C-Mueller-Industries-to-Join-S-P-MidCap-400-and-Atlas-Energy-Solutions-to-Join-S-P-SmallCap-600,"Acquired by ConocoPhillips"
2024-12-06,2024-12-23,S&P 500,Addition,Apollo Global Mgt,APO,Financials,S&P DJI Press Release,https://press.spglobal.com/2024-12-06-Apollo-Global-Management-and-Workday-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,"Quarterly rebalance"
2024-12-06,2024-12-23,S&P 500,Addition,Workday,WDAY,Information Technology,S&P DJI Press Release,https://press.spglobal.com/2024-12-06-Apollo-Global-Management-and-Workday-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,"Quarterly rebalance"
2024-12-06,2024-12-23,S&P 500,Deletion,Qorvo,QRVO,Information Technology,S&P DJI Press Release,https://press.spglobal.com/2024-12-06-Apollo-Global-Management-and-Workday-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,"Quarterly rebalance"
2024-12-06,2024-12-23,S&P 500,Deletion,Amentum Holdings,AMTM,Industrials,S&P DJI Press Release,https://press.spglobal.com/2024-12-06-Apollo-Global-Management-and-Workday-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,"Quarterly rebalance"
2024-12-18,2024-12-23,S&P 500,Addition,Lennox International,LII,Industrials,S&P DJI Press Release,https://press.spglobal.com/2024-12-18-Lennox-International-Set-to-Join-S-P-500-and-BILL-Holdings-to-Join-S-P-MidCap-400,"Replaced Catalent"
2024-12-18,2024-12-23,S&P 500,Deletion,Catalent,CTLT,Health Care,S&P DJI Press Release,https://press.spglobal.com/2024-12-18-Lennox-International-Set-to-Join-S-P-500-and-BILL-Holdings-to-Join-S-P-MidCap-400,"Acquired by Novo Holdings"
2023-03-10,2023-03-15,S&P 500,Addition,Insulet,PODD,Health Care,S&P DJI Press Release,https://press.spglobal.com/2023-03-10-Insulet-Set-to-Join-S-P-500,"Replaced SVB Financial Group after FDIC receivership"
2023-03-10,2023-03-15,S&P 500,Deletion,SVB Financial Group,SIVB,Financials,S&P DJI Press Release,https://press.spglobal.com/2023-03-10-Insulet-Set-to-Join-S-P-500,"Removed after entering FDIC receivership"
2023-03-13,2023-03-15,S&P 500,Addition,Bunge,BG,Consumer Staples,S&P DJI Press Release,https://press.spglobal.com/2023-03-13-Bunge-Set-to-Join-S-P-500,"Replaced Signature Bank after FDIC receivership"
2023-03-13,2023-03-15,S&P 500,Deletion,Signature Bank,SBNY,Financials,S&P DJI Press Release,https://press.spglobal.com/2023-03-13-Bunge-Set-to-Join-S-P-500,"Removed after entering FDIC receivership"
2023-03-03,2023-03-20,S&P 500,Addition,Fair Isaac & Co,FICO,Information Technology,S&P DJI Press Release,https://press.spglobal.com/2023-03-03-Fair-Isaac-Co-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,"Quarterly rebalance"
2023-03-03,2023-03-20,S&P 500,Deletion,Lumen Technologies,LUMN,Communication Services,S&P DJI Press Release,https://press.spglobal.com/2023-03-03-Fair-Isaac-Co-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,"Quarterly rebalance"
2023-05-01,2023-05-04,S&P 500,Addition,Axon Enterprise,AXON,Industrials,S&P DJI Press Release,https://press.spglobal.com/2023-05-01-Axon-Enterprise-Set-to-Join-S-P-500-STAG-Industrial-to-Join-S-P-MidCap-400,"Replaced First Republic Bank"
