component,family_name,label,estimand_term,estimate,cluster_se,ci_low,ci_high,t_stat,reference_df,raw_p_value,holm_adjusted_p_value,economic_effect_pp,sample_rows,security_fixed_effects,issuer_clusters,month_clusters,intersection_clusters,decision,expected_sign,inference_method,preregistration_id,script_version
H3A,H3A_beta_A,Attention predicts next-month sector-relative return,attention_z,-0.0019591838766301185,0.002126236877219945,-0.006216899781533832,0.0022985320282735947,-0.9214325542089891,57,0.3607083069553561,0.3607083069553561,-0.19591838766301184,29114,579,573,58,28908,NOT SUPPORTED,positive,"OLS/LPM with security FE, outcome-month FE, current momentum-decile FE; two-way CR1 cluster covariance by issuer_id and outcome_month",H3_STATISTICAL_PREREGISTRATION_V2,2026-08-26-v2-h3-primary-confirmatory-inference-pre-model-gate-fix
H3B,H3B_beta_B,Attention predicts next-month Winner entry,attention_z,0.0071302004906195204,0.0034761200055581825,0.00016939024713879657,0.014091010734100243,2.051195148389182,57,0.044853985373190366,0.1345619561195711,0.713020049061952,26139,573,567,58,25969,NOT SUPPORTED,positive,"OLS/LPM with security FE, outcome-month FE, current momentum-decile FE; two-way CR1 cluster covariance by issuer_id and outcome_month",H3_STATISTICAL_PREREGISTRATION_V2,2026-08-26-v2-h3-primary-confirmatory-inference-pre-model-gate-fix
H3C,H3C_theta,Attention has an incremental effect for current Winners,attention_x_current_winner,-0.002878138296124954,0.0019253793518947226,-0.006733643944326241,0.0009773673520763328,-1.494842194756396,57,0.14047165411528592,0.28094330823057184,-0.2878138296124954,29114,579,573,58,28908,NOT SUPPORTED,positive,"OLS/LPM with security FE, outcome-month FE, current momentum-decile FE; two-way CR1 cluster covariance by issuer_id and outcome_month",H3_STATISTICAL_PREREGISTRATION_V2,2026-08-26-v2-h3-primary-confirmatory-inference-pre-model-gate-fix
