series_code,series_name,dependent_return_convention,alpha_monthly,alpha_annualized_arithmetic,beta,alpha_hac_se,beta_hac_se,alpha_hac_z,beta_hac_z,alpha_hac_p,beta_hac_p,r_squared,observations
D01,Loser Decile,portfolio return minus risk-free,-0.0038380174373925506,-0.04605620924871061,1.1934498096508663,0.004422971435864208,0.12665787449630744,-0.8677463766262459,9.422626223572541,0.38553319137531117,4.399439030587339e-21,0.5894653715288312,59.0
D02,Momentum Decile 2,portfolio return minus risk-free,-0.006679306024224985,-0.08015167229069982,1.0316140369961468,0.003311243871059531,0.09621703022008248,-2.017159195854621,10.721740575826127,0.04367890275058391,8.047445327434615e-27,0.7137674149890536,59.0
D03,Momentum Decile 3,portfolio return minus risk-free,-0.0005476338055928997,-0.006571605667114797,0.9742343685125924,0.003087139999851725,0.07567349809822958,-0.17739195683357495,12.874181754462663,0.8592005246478097,6.290215883512303e-38,0.7339399600616558,59.0
D04,Momentum Decile 4,portfolio return minus risk-free,-0.0030232065988130673,-0.03627847918575681,0.9609700350971385,0.0032272076589695115,0.06643046603993288,-0.9367871293966921,14.465803002488004,0.348868067096078,1.992657843159461e-47,0.7483280989237027,59.0
D05,Momentum Decile 5,portfolio return minus risk-free,-0.001568185201667099,-0.018818222420005186,0.8906723417777768,0.002819493817040779,0.06883423195942724,-0.5561938785568963,12.939380834564453,0.5780783234900421,2.697950692169712e-38,0.7445197800129622,59.0
D06,Momentum Decile 6,portfolio return minus risk-free,-0.0016606622982916655,-0.019927947579499984,0.9169450159688796,0.002731120691269209,0.055497421528439214,-0.6080515971338933,16.52229942789321,0.5431532533197441,2.5354444536689726e-61,0.8238091079043901,59.0
D07,Momentum Decile 7,portfolio return minus risk-free,-0.0007003512151968747,-0.008404214582362497,0.864251078624429,0.0026028071353731024,0.05073582470473117,-0.2690753401121601,17.034335869262744,0.7878717065753791,4.568990582408842e-65,0.7632882301339845,59.0
D08,Momentum Decile 8,portfolio return minus risk-free,-0.002565089422117252,-0.030781073065407026,0.8915140441305606,0.0020972059940461423,0.052623382867834474,-1.2230984602368133,16.94140504744118,0.22129251013294038,2.2274047870534517e-64,0.814788934197777,59.0
D09,Momentum Decile 9,portfolio return minus risk-free,-0.0032738641114329827,-0.039286369337195794,0.9033165537819865,0.002230238436142861,0.08367010300373402,-1.4679435428864034,10.796168778968436,0.14211955915806151,3.588670777071683e-27,0.7719437597668626,59.0
D10,Winner Decile,portfolio return minus risk-free,-0.000959853878472542,-0.011518246541670503,1.0202854152149667,0.0033789036908430502,0.08472339645571988,-0.28407257687568316,12.04254619027475,0.7763547620973226,2.1230017336411957e-33,0.7040934125244194,59.0
WML,Winner Minus Loser,zero-cost spread return,0.002878163558920009,0.034537962707040105,-0.17316439443589962,0.005229904425979284,0.148376008132305,0.5503281369011025,-1.1670646529423485,0.5820943288211753,0.24318426106584168,0.019845146495123367,59.0
SP500,S&P 500 Index,portfolio return minus risk-free,-0.0011468232286204552,-0.013761878743445463,0.9964755624207088,7.356229572924828e-05,0.0019128251016888365,-15.589823798341296,520.9444196131255,8.536869169734364e-55,0.0,0.9997031324138895,59.0
