transaction_cost_bps_per_turnover,annual_short_borrow_fee_bps,gross_final_wealth_index,net_final_wealth_index,gross_annualized_return,net_annualized_return,mean_monthly_total_leg_turnover
5,0,0.9836507146825555,0.9664086611721033,-0.0033471470665586978,-0.006925431200307752,0.5954336989032902
5,50,0.9836507146825555,0.942862862260201,-0.0033471470665586978,-0.011895013817126654,0.5954336989032902
5,100,0.9836507146825555,0.9198811983803361,-0.0033471470665586978,-0.016841801285562563,0.5954336989032902
5,200,0.9836507146825555,0.8755574336072279,-0.0033471470665586978,-0.026667370616433095,0.5954336989032902
10,0,0.9836507146825555,0.9494627705809985,-0.0033471470665586978,-0.010492154165280265,0.5954336989032902
10,50,0.9836507146825555,0.9263229619191411,-0.0033471470665586978,-0.015445376034890046,0.5954336989032902
10,100,0.9836507146825555,0.9037377261596736,-0.0033471470665586978,-0.02037587097644533,0.5954336989032902
10,200,0.9836507146825555,0.8601790115405438,-0.0033471470665586978,-0.030169058891397538,0.5954336989032902
20,0,0.9836507146825555,0.9164396222326019,-0.0033471470665586978,-0.017591050733199998,0.5954336989032902
20,50,0.9836507146825555,0.8940913343345442,-0.0033471470665586978,-0.022511695201736015,0.5954336989032902
20,100,0.9836507146825555,0.8722789686863357,-0.0033471470665586978,-0.02740974864204937,0.5954336989032902
20,200,0.9836507146825555,0.8302117600934048,-0.0033471470665586978,-0.037138459214937636,0.5954336989032902
