series_code,momentum_decile,transaction_cost_bps,initial_formation_turnover,mean_monthly_turnover_including_initial,gross_final_wealth,net_final_wealth,gross_annualized_return,net_annualized_return,annualized_return_drag
D01,1,5,1.0,0.2913659022931206,1.6366677518520776,1.6226591846776177,0.10539474335971977,0.10346381795287551,0.0019309254068442527
D01,1,10,1.0,0.2913659022931206,1.6366677518520776,1.6087681168729848,0.10539474335971977,0.10153593090993729,0.0038588124497824783
D01,1,20,1.0,0.2913659022931206,1.6366677518520776,1.5813346245316398,0.10539474335971977,0.09768925475413504,0.007705488605584732
D02,2,5,1.0,0.5839548022598872,1.325052445080642,1.3024182916893354,0.05891466504763687,0.05521044664607033,0.003704218401566539
D02,2,10,1.0,0.5839548022598872,1.325052445080642,1.2801640767367726,0.05891466504763687,0.051518068178275866,0.007396596869361005
D02,2,20,1.0,0.5839548022598872,1.325052445080642,1.236770501841564,0.05891466504763687,0.0441686939461543,0.014745971101482569
D03,3,5,1.0,0.686606846128282,1.855393571445071,1.8181843783955012,0.13395850374698481,0.12929580003323493,0.004662703713749883
D03,3,10,1.0,0.686606846128282,1.855393571445071,1.7817088141205952,0.13395850374698481,0.1246506528388891,0.009307850908095716
D03,3,20,1.0,0.686606846128282,1.855393571445071,1.7109019775060508,0.13395850374698481,0.11541278805270117,0.01854571569428365
D04,4,5,1.0,0.7288401462279831,1.5992869088917432,1.565261807364643,0.1002124429481186,0.09541079029900468,0.004801652649113919
D04,4,10,1.0,0.7288401462279831,1.5992869088917432,1.5319484424753744,0.1002124429481186,0.09062833373284285,0.009584109215275749
D04,4,20,1.0,0.7288401462279831,1.5992869088917432,1.4673986830734507,0.1002124429481186,0.0811207302073389,0.019091712740779698
D05,5,5,1.0,0.7390162844798941,1.6875209876441393,1.6511227706707516,0.11229548098654529,0.10737345432370549,0.004922026662839807
D05,5,10,1.0,0.7390162844798941,1.6875209876441393,1.6154964495360289,0.11229548098654529,0.1024713789179359,0.009824102068609397
D05,5,20,1.0,0.7390162844798941,1.6875209876441393,1.5464954643704696,0.11229548098654529,0.09272678824970271,0.019568692736842586
D06,6,5,1.0,0.735932203389831,1.708394785777911,1.6716984827323669,0.11508014312054993,0.11016634459233576,0.004913798528214164
D06,6,10,1.0,0.735932203389831,1.708394785777911,1.6357771830822085,0.11508014312054993,0.1052723810372671,0.009807762083282823
D06,6,20,1.0,0.735932203389831,1.708394785777911,1.5661955699838987,0.11508014312054993,0.09554366814406023,0.019536474976489693
D07,7,5,1.0,0.7342372881355934,1.756483731857083,1.7188404458511746,0.12139374287645421,0.11646347975891413,0.004930263117540079
D07,7,10,1.0,0.7342372881355934,1.756483731857083,1.6819903415800193,0.12139374287645421,0.11155307107451806,0.009840671801936152
D07,7,20,1.0,0.7342372881355934,1.756483731857083,1.610604302677733,0.12139374287645421,0.10179152672142644,0.019602216155027774
D08,8,5,1.0,0.6922033898305088,1.6001329916019653,1.5677840036894533,0.10033080179633691,0.09576956316758234,0.004561238628754571
D08,8,10,1.0,0.6922033898305088,1.6001329916019653,1.536077975477915,0.10033080179633691,0.09122563991965293,0.009105161876683976
D08,8,20,1.0,0.6922033898305088,1.6001329916019653,1.4745447984598476,0.10033080179633691,0.08218950095026645,0.018141300846070463
D09,9,5,1.0,0.6081355932203393,1.5386955194284528,1.5113332097575845,0.09160358608970731,0.08762716429249018,0.003976421797217133
D09,9,10,1.0,0.6081355932203393,1.5386955194284528,1.484449130751451,0.09160358608970731,0.08366398810241704,0.00793959798729027
D09,9,20,1.0,0.6081355932203393,1.5386955194284528,1.4320829530497807,0.09160358608970731,0.07577721259201842,0.015826373497688895
D10,10,5,1.0,0.3040677966101696,1.8420507747362844,1.8256000107011132,0.1322951493820066,0.13023108259867944,0.0020640667833271564
D10,10,10,1.0,0.3040677966101696,1.8420507747362844,1.809293280199019,0.1322951493820066,0.12817041279088937,0.0041247365911172285
D10,10,20,1.0,0.3040677966101696,1.8420507747362844,1.7771069858121498,0.1322951493820066,0.12405924401622004,0.008235905365786556
