series_code,observations,gross_final_wealth,gross_annualized_return,annualized_volatility,annualized_arithmetic_excess_return,annualized_sharpe,maximum_drawdown,positive_month_frequency,mean_monthly_active_return_vs_spy
WINNER,59,1.790323878441694,0.12575456334515578,0.15578173805666828,0.09786636503903914,0.6291007000320629,-0.16447741798875037,0.6440677966101694,-0.0016373693224972315
LOSER,59,1.5611126109834423,0.09481957960993337,0.18979798863639327,0.07549266245466209,0.3967399258748824,-0.20775434310953445,0.559322033898305,-0.003501844537861985
WML,59,1.0814310559465918,0.01604985392818903,0.11398770411285154,0.022373702584377042,0.19628171966887184,-0.13233735077009623,0.559322033898305,-0.01068273611284298
SPY,59,1.9739960806113361,0.1483398366940516,0.15232329388080146,0.11751479690900588,0.7744846398225728,-0.2392718758389717,0.6779661016949152,0.0
SP500,59,1.8430419192099912,0.13241903793844778,0.1518206712278775,0.10333874459921155,0.6833643360235337,-0.24769522238986652,0.6610169491525424,-0.0011813376924828627
