gics_sector,observations,mean_winner_monthly_return,mean_loser_monthly_return,mean_wml_monthly_return,winner_annualized_return,loser_annualized_return,wml_annualized_return,wml_annualized_volatility,wml_sharpe,wml_maximum_drawdown,positive_wml_months,positive_wml_frequency,hac_z,hac_p_raw,hac_p_holm,holm_reject_5pct
Communication Services,59,0.007669038078468224,-0.00273313212439084,0.010402170202859063,0.06989916881066827,-0.06575766798585114,0.09226087031830188,0.26700255251675176,0.4675087981658047,-0.3637588390095513,38,0.6440677966101694,1.1844675835037077,0.23622802101470564,1.0,False
Consumer Discretionary,59,0.007643659598743294,0.00840312665660833,-0.000759467057865033,0.06906942578911801,0.0624482852320325,-0.03227470649908937,0.2149031149066989,-0.042407969276467235,-0.342411040882744,32,0.5423728813559322,-0.10293926407828558,0.9180111749825418,1.0,False
Consumer Staples,59,0.00886459203159277,0.0020484549747225213,0.006816137056870245,0.10109827723035458,0.009646723491204545,0.06867243080774554,0.1768514459068043,0.462499157205341,-0.18762916632841076,29,0.4915254237288136,1.0344894364156634,0.3009074126770058,1.0,False
Energy,59,0.026912635014147212,0.017743050580532924,0.009169584433614287,0.30405066116866153,0.1880936536047242,0.08508295125996868,0.2386158061155146,0.4611388281214831,-0.34998037407419524,37,0.6271186440677966,0.9767225926935921,0.3287065070488454,1.0,False
Financials,59,0.00867047577675206,0.009966419968907105,-0.0012959441921550415,0.09300429073607153,0.07997786896694414,-0.039902294878815914,0.22597950473901474,-0.0688174368902208,-0.37104144308124365,30,0.5084745762711864,-0.17442535863596914,0.8615311864730646,1.0,False
Health Care,59,0.004190521870819617,0.010362012497461595,-0.006171490626641977,0.0331436199020525,0.11066864067191906,-0.08747147940176059,0.18361762977253135,-0.4033266719075281,-0.4310744819959278,30,0.5084745762711864,-0.8829574087452304,0.3772592838816461,1.0,False
Industrials,59,0.012782474753481758,0.017249031156061675,-0.00446655640257992,0.14329871320926268,0.2025073159227937,-0.06296883813167264,0.15040959081057445,-0.3563514569922679,-0.3307339265333763,24,0.4067796610169492,-0.8326451022602853,0.4050449142187409,1.0,False
Information Technology,59,0.011889099264551546,0.011131910225012559,0.0007571890395389857,0.12177755256094325,0.10962665357437573,-0.012500765115002976,0.20992669206225664,0.04328305459971317,-0.321712644823538,29,0.4915254237288136,0.11740328655703165,0.9065404797892843,1.0,False
Materials,59,0.011632790100541059,0.0027150875470587877,0.008917702553482272,0.11187658881492335,0.006007265004429385,0.08620084096549774,0.2216031624506838,0.4829011890369665,-0.18623720799829235,35,0.5932203389830508,1.5131131867551568,0.13025091058347552,1.0,False
Real Estate,59,0.008996529335521817,0.007004178147900419,0.001992351187621398,0.09381214390806147,0.06260535342265539,0.01178750585645405,0.15613305922330892,0.15312717479814514,-0.13949185326567426,33,0.559322033898305,0.46629544025424674,0.6410040421248049,1.0,False
Utilities,59,0.010756446238196153,0.01560889506392815,-0.004852448825731995,0.11557840388264085,0.18100997559540377,-0.06969613905162775,0.16652926966810572,-0.3496645726293979,-0.31103465601974467,28,0.4745762711864407,-0.8680221094647576,0.3853822291657889,1.0,False
