transaction_cost_bps_per_turnover,annual_short_borrow_fee_bps,gross_final_wealth,net_final_wealth,gross_annualized_return,net_annualized_return,mean_winner_turnover_including_initial,mean_loser_turnover_including_initial,mean_total_leg_turnover_including_initial,monthly_borrow_cost_rate
5,0,1.0814310559465918,1.064535141368823,0.01604985392818903,0.012800875998364436,0.27240383311261585,0.25999927781514837,0.5324031109277643,0.0
5,50,1.0814310559465918,1.0386922477364753,0.01604985392818903,0.007751065066706753,0.27240383311261585,0.25999927781514837,0.5324031109277643,0.0004166666666666667
5,100,1.0814310559465918,1.0134663316055814,0.01604985392818903,0.0027243415326294596,0.27240383311261585,0.25999927781514837,0.5324031109277643,0.0008333333333333334
5,200,1.0814310559465918,0.964807839662661,0.01604985392818903,-0.007260226937936709,0.27240383311261585,0.25999927781514837,0.5324031109277643,0.0016666666666666668
10,0,1.0814310559465918,1.0478979151205903,0.01604985392818903,0.009561251055598019,0.27240383311261585,0.25999927781514837,0.5324031109277643,0.0
10,50,1.0814310559465918,1.0224521689770523,0.01604985392818903,0.004526245730078315,0.27240383311261585,0.25999927781514837,0.5324031109277643,0.0004166666666666667
10,100,1.0814310559465918,0.9976140798025426,0.01604985392818903,-0.0004857337302166531,0.27240383311261585,0.25999927781514837,0.5324031109277643,0.0008333333333333334
10,200,1.0814310559465918,0.949704135254395,0.01604985392818903,-0.010440997730131407,0.27240383311261585,0.25999927781514837,0.5324031109277643,0.0016666666666666668
20,0,1.0814310559465918,1.015384060005963,0.01604985392818903,0.0031099632547268996,0.27240383311261585,0.25999927781514837,0.5324031109277643,0.0
20,50,1.0814310559465918,0.9907147593356647,0.01604985392818903,-0.0018955470540604757,0.27240383311261585,0.25999927781514837,0.5324031109277643,0.0004166666666666667
20,100,1.0814310559465918,0.966634886270516,0.01604985392818903,-0.006878154127634484,0.27240383311261585,0.25999927781514837,0.5324031109277643,0.0008333333333333334
20,200,1.0814310559465918,0.9201883588955245,0.01604985392818903,-0.01677503940961289,0.27240383311261585,0.25999927781514837,0.5324031109277643,0.0016666666666666668
