component,estimand,estimate,cluster_se,ci_95_low,ci_95_high,t_stat,reference_df,p_two_sided,economic_effect_percentage_points,events,session_clusters,decision,primary_or_secondary
H4A_PRIMARY,mean_signed_forward_return_30m,-0.0006131422498621542,0.0002888726596837031,-0.001183777584315005,-4.250691540930336e-05,-2.1225347200856786,155,0.03538178873666804,-0.06131422498621542,164,156,CONTRADICTED,PRIMARY
H4_SECONDARY_15M,mean_signed_forward_return_15m,-0.00043088197903676446,0.0002446682107910475,-0.0009141964140116799,5.2432455938151046e-05,-1.7610868925050012,155,0.08019561687379521,-0.04308819790367645,164,156,DESCRIPTIVE ONLY,SECONDARY
H4_SECONDARY_60M,mean_signed_forward_return_60m,-0.000627461384965921,0.00039758612333192514,-0.0014128880237278248,0.00015796525379598286,-1.5781772756743933,154,0.11657679400850333,-0.0627461384965921,163,155,DESCRIPTIVE ONLY,SECONDARY
