date,year,month,source_url,resolved_source_url,source_file_sha256,source_file_md5,source_file_bytes,parsed_rows,malformed_rows,malformed_row_rate,total_source_document_weight,active_security_count,unique_active_alias_count,status,catalog_listed_flag,catalog_md5,catalog_size_bytes,source_available_flag,source_gap_class,source_gap_policy_sha256,source_gap_error
2025-06-21,2025,2025-06,https://data.gdeltproject.org/gkg/20250621.gkg.csv.zip,,,,,,,,,503,500,DOCUMENTED_SOURCE_GAP,0,,,0,OFFICIAL_CATALOG_ABSENT_AND_DIRECT_UNAVAILABLE,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135,Download failed after 2 attempts per endpoint: https://data.gdeltproject.org/gkg/20250621.gkg.csv.zip | HTTP Error 404: Not Found | history=url=https://data.gdeltproject.org/gkg/20250621.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=https://data.gdeltproject.org/gkg/20250621.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250621.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250621.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found
2025-06-22,2025,2025-06,https://data.gdeltproject.org/gkg/20250622.gkg.csv.zip,,,,,,,,,503,500,DOCUMENTED_SOURCE_GAP,0,,,0,OFFICIAL_CATALOG_ABSENT_AND_DIRECT_UNAVAILABLE,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135,Download failed after 2 attempts per endpoint: https://data.gdeltproject.org/gkg/20250622.gkg.csv.zip | HTTP Error 404: Not Found | history=url=https://data.gdeltproject.org/gkg/20250622.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=https://data.gdeltproject.org/gkg/20250622.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250622.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250622.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found
2025-06-23,2025,2025-06,https://data.gdeltproject.org/gkg/20250623.gkg.csv.zip,,,,,,,,,503,500,DOCUMENTED_SOURCE_GAP,0,,,0,OFFICIAL_CATALOG_ABSENT_AND_DIRECT_UNAVAILABLE,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135,Download failed after 2 attempts per endpoint: https://data.gdeltproject.org/gkg/20250623.gkg.csv.zip | HTTP Error 404: Not Found | history=url=https://data.gdeltproject.org/gkg/20250623.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=https://data.gdeltproject.org/gkg/20250623.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250623.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250623.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found
2025-06-24,2025,2025-06,https://data.gdeltproject.org/gkg/20250624.gkg.csv.zip,,,,,,,,,503,500,DOCUMENTED_SOURCE_GAP,0,,,0,OFFICIAL_CATALOG_ABSENT_AND_DIRECT_UNAVAILABLE,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135,Download failed after 2 attempts per endpoint: https://data.gdeltproject.org/gkg/20250624.gkg.csv.zip | HTTP Error 404: Not Found | history=url=https://data.gdeltproject.org/gkg/20250624.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=https://data.gdeltproject.org/gkg/20250624.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250624.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250624.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found
2025-06-25,2025,2025-06,https://data.gdeltproject.org/gkg/20250625.gkg.csv.zip,,,,,,,,,503,500,DOCUMENTED_SOURCE_GAP,0,,,0,OFFICIAL_CATALOG_ABSENT_AND_DIRECT_UNAVAILABLE,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135,Download failed after 2 attempts per endpoint: https://data.gdeltproject.org/gkg/20250625.gkg.csv.zip | HTTP Error 404: Not Found | history=url=https://data.gdeltproject.org/gkg/20250625.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=https://data.gdeltproject.org/gkg/20250625.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250625.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250625.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found
2025-06-26,2025,2025-06,https://data.gdeltproject.org/gkg/20250626.gkg.csv.zip,,,,,,,,,503,500,DOCUMENTED_SOURCE_GAP,0,,,0,OFFICIAL_CATALOG_ABSENT_AND_DIRECT_UNAVAILABLE,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135,Download failed after 2 attempts per endpoint: https://data.gdeltproject.org/gkg/20250626.gkg.csv.zip | HTTP Error 404: Not Found | history=url=https://data.gdeltproject.org/gkg/20250626.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=https://data.gdeltproject.org/gkg/20250626.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250626.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250626.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found
2025-06-27,2025,2025-06,https://data.gdeltproject.org/gkg/20250627.gkg.csv.zip,,,,,,,,,503,500,DOCUMENTED_SOURCE_GAP,0,,,0,OFFICIAL_CATALOG_ABSENT_AND_DIRECT_UNAVAILABLE,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135,Download failed after 2 attempts per endpoint: https://data.gdeltproject.org/gkg/20250627.gkg.csv.zip | HTTP Error 404: Not Found | history=url=https://data.gdeltproject.org/gkg/20250627.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=https://data.gdeltproject.org/gkg/20250627.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250627.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250627.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found
2025-06-28,2025,2025-06,https://data.gdeltproject.org/gkg/20250628.gkg.csv.zip,,,,,,,,,503,500,DOCUMENTED_SOURCE_GAP,0,,,0,OFFICIAL_CATALOG_ABSENT_AND_DIRECT_UNAVAILABLE,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135,Download failed after 2 attempts per endpoint: https://data.gdeltproject.org/gkg/20250628.gkg.csv.zip | HTTP Error 404: Not Found | history=url=https://data.gdeltproject.org/gkg/20250628.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=https://data.gdeltproject.org/gkg/20250628.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250628.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250628.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found
2025-06-29,2025,2025-06,https://data.gdeltproject.org/gkg/20250629.gkg.csv.zip,,,,,,,,,503,500,DOCUMENTED_SOURCE_GAP,0,,,0,OFFICIAL_CATALOG_ABSENT_AND_DIRECT_UNAVAILABLE,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135,Download failed after 2 attempts per endpoint: https://data.gdeltproject.org/gkg/20250629.gkg.csv.zip | HTTP Error 404: Not Found | history=url=https://data.gdeltproject.org/gkg/20250629.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=https://data.gdeltproject.org/gkg/20250629.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250629.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250629.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found
2025-06-30,2025,2025-06,https://data.gdeltproject.org/gkg/20250630.gkg.csv.zip,,,,,,,,,503,500,DOCUMENTED_SOURCE_GAP,0,,,0,OFFICIAL_CATALOG_ABSENT_AND_DIRECT_UNAVAILABLE,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135,Download failed after 2 attempts per endpoint: https://data.gdeltproject.org/gkg/20250630.gkg.csv.zip | HTTP Error 404: Not Found | history=url=https://data.gdeltproject.org/gkg/20250630.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=https://data.gdeltproject.org/gkg/20250630.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250630.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250630.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found
2025-07-01,2025,2025-07,https://data.gdeltproject.org/gkg/20250701.gkg.csv.zip,,,,,,,,,503,500,DOCUMENTED_SOURCE_GAP,0,,,0,OFFICIAL_CATALOG_ABSENT_AND_DIRECT_UNAVAILABLE,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135,Download failed after 2 attempts per endpoint: https://data.gdeltproject.org/gkg/20250701.gkg.csv.zip | HTTP Error 404: Not Found | history=url=https://data.gdeltproject.org/gkg/20250701.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=https://data.gdeltproject.org/gkg/20250701.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250701.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250701.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found
