security_key,latest_project_ticker,canonical_company_name,membership_company_name,membership_valid_from,membership_valid_to_exclusive,left_censored,right_censored,entry_source_url,exit_source_url,stage3b2_candidate_sec_cik,resolved_sec_cik,cik_resolution_basis,known_in_membership_public_name_event_count,known_in_membership_legal_only_name_event_count,known_in_membership_ticker_only_event_count,unexpected_in_membership_sec_former_name_signal_count,final_no_nport_disposition,name_state_resolution_basis,resolution_status
CE,CE,Celanese,Celanese,2021-01-01,2025-03-24,True,False,,https://press.spglobal.com/2025-03-07-DoorDash%2C-TKO-Group-Holdings%2C-Williams-Sonoma-and-Expand-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,0001306830,0001306830,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
CERN,CERN,Cerner,Cerner,2021-01-01,2022-06-08,True,False,,https://press.spglobal.com/2022-06-03-Keurig-Dr-Pepper%2C-VICI-Properties-and-ON-Semiconductor-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400%2C-and-S-P-SmallCap-600,,0000804753,UNIQUE_EXACT_SEC_CIK_LOOKUP_NAME_CORE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
CMA,CMA,Comerica,Comerica,2021-01-01,2024-06-24,True,False,,https://press.spglobal.com/2024-06-07-KKR%2C-CrowdStrike-Holdings-and-GoDaddy-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,,0000028412,UNIQUE_EXACT_SEC_CIK_LOOKUP_NAME_CORE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
CTXS,CTXS,Citrix Systems,Citrix Systems,2021-01-01,2022-10-03,True,False,,https://press.spglobal.com/2022-09-23-PG-E-and-EQT-Set-to-Join-S-P-500-ExlService-to-Join-S-P-MidCap-400-Others-to-Join-S-P-SmallCap-600,,0000877890,UNIQUE_EXACT_SEC_CIK_LOOKUP_NAME_CORE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
CZR,CZR,Caesars Entertainment,Caesars Entertainment,2021-03-22,2025-09-22,False,False,https://press.spglobal.com/2021-03-12-NXP-Semiconductors-Penn-National-Gaming-Generac-Holdings-and-Caesars-Entertainment-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-S-P-SmallCap-600-and-S-P-100,https://press.spglobal.com/2025-09-05-AppLovin%2C-Robinhood-Markets-and-Emcor-Group-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,0001590895,0001590895,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
DFS,DFS,Discover Financial Services,Discover Financial Services,2021-01-01,2025-05-19,True,False,,https://press.spglobal.com/2025-05-12-Coinbase-Global-Set-to-Join-S-P-500,0001393612,0001393612,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
DISCA,DISCA,Discovery Inc Class A,Discovery Inc Class A,2021-01-01,2022-04-11,True,False,,https://press.spglobal.com/2022-04-07-S-P-Dow-Jones-Indices-Announces-Treatment-of-AT-T-Transaction-with-Discovery,,0001437107,UNIQUE_EXACT_SEC_CIK_LOOKUP_NAME_CORE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
DISCK,DISCK,Discovery Inc Class C,Discovery Inc Class C,2021-01-01,2022-04-11,True,False,,https://press.spglobal.com/2022-04-07-S-P-Dow-Jones-Indices-Announces-Treatment-of-AT-T-Transaction-with-Discovery,,0001437107,UNIQUE_EXACT_SEC_CIK_LOOKUP_NAME_CORE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
DRE,DRE,Duke Realty,Duke Realty,2021-01-01,2022-10-03,True,False,,https://press.spglobal.com/2022-09-23-PG-E-and-EQT-Set-to-Join-S-P-500-ExlService-to-Join-S-P-MidCap-400-Others-to-Join-S-P-SmallCap-600,,0000783280,UNIQUE_EXACT_SEC_CIK_LOOKUP_NAME_CORE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
DXC,DXC,DXC Technologies,DXC Technologies,2021-01-01,2023-10-03,True,False,,https://press.spglobal.com/2023-09-28-Veralto-Set-to-Join-S-P-500-Vestis-to-Join-S-P-MidCap-400-Others-to-Join-S-P-SmallCap-600,0001688568,0001688568,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
