date,window_id,source_url,source_file_sha256,source_file_bytes,parsed_rows,malformed_rows,malformed_row_rate,total_source_document_weight,active_security_count,unique_active_alias_count,status,manifest_sha256,config_sha256,script_version
2022-04-16,W2022,https://data.gdeltproject.org/gkg/20220416.gkg.csv.zip,5fee27d6f96b2921f14a6b39f2fdf41cc32ebecb0712eb8e895c470e6a5fa88a,14410522,35130,1,2.8464888559961287e-05,55414,504,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2022-04-17,W2022,https://data.gdeltproject.org/gkg/20220417.gkg.csv.zip,360f125f5acf3a9a921589a1100b18c05b79c89014b18ca26b89defaed5fec17,12846537,31425,1,3.1820785336982115e-05,47870,504,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2023-07-10,W2023,https://data.gdeltproject.org/gkg/20230710.gkg.csv.zip,3122f99c13d980c088d4a66dccfd780bdcc891faee182d73804527c1281e23a4,43318776,109152,1,9.161452273414382e-06,122328,503,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2023-07-11,W2023,https://data.gdeltproject.org/gkg/20230711.gkg.csv.zip,1771f128aee027b63a070f96fb7bc7ceecfb3a5f09d1fe456876741d136f58f8,49402606,123669,1,8.086035416835126e-06,138665,503,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2023-07-12,W2023,https://data.gdeltproject.org/gkg/20230712.gkg.csv.zip,b2a562108775600ac58758778736059f90e70ce24c4f9db52aa2df011662d7b7,50241083,126930,1,7.878296082123359e-06,141201,503,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2023-07-13,W2023,https://data.gdeltproject.org/gkg/20230713.gkg.csv.zip,d1fce6cfeb698e48a66be59b2e33e618ca5b245e040c362870e3a8c86f804a75,49718439,125176,1,7.988688017766842e-06,138610,503,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2023-07-14,W2023,https://data.gdeltproject.org/gkg/20230714.gkg.csv.zip,21638fc91c509357761d09f622c837be401b0f05011d39c268bd3afe9e9fd9f6,46881063,118343,1,8.449942540390725e-06,132395,503,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2023-07-15,W2023,https://data.gdeltproject.org/gkg/20230715.gkg.csv.zip,0ef6d50b0241f84a19a47657542a679ed35330dc0eaaaa1b3c9b77c0636fcbb8,28048027,69996,1,1.4286326556852436e-05,78053,503,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2023-07-16,W2023,https://data.gdeltproject.org/gkg/20230716.gkg.csv.zip,369efd38572b77ca40fcdc382f5bae95f6f5fa1546d5ce09cdddfe0f69bd9b2d,24081745,59759,1,1.673360107095047e-05,67093,503,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2024-10-07,W2024,https://data.gdeltproject.org/gkg/20241007.gkg.csv.zip,0065dda18034727a0cf387e0dd19f54511a7d119ae89d6e50d206563970c820f,38493978,95287,1,1.0494500881538074e-05,105360,503,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2024-10-08,W2024,https://data.gdeltproject.org/gkg/20241008.gkg.csv.zip,e8eee2d87efab3e71b3f2cc12b3b083e9356f49a2b3873095bd7ae0a551122dc,42375165,108284,1,9.234889412199289e-06,120581,503,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
