COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,ORDINAL_POSITION
security_key,varchar,32.0,,,NO,1
ticker,varchar,32.0,,,NO,2
ticker_valid_from,date,,,,NO,3
ticker_valid_to_exclusive,date,,,,NO,4
left_censored,bit,,,,NO,5
right_censored,bit,,,,NO,6
created_at_utc,datetime2,,,,NO,7
