anchor_id,date,ticker,canonical_company_name,ambiguity_tier,matched_source_documents,matched_namesets,total_source_documents,total_namesets,malformed_rows,configured_csv_field_limit,news_attention_share,mentions_per_100k_source_documents
A2021,2021-01-11,NVDA,NVIDIA Corporation,LOW,72,64,108480,74168,1,922337203,0.000663716814159292,66.3716814159292
A2021,2021-01-11,NFLX,"Netflix, Inc.",LOW,719,550,108480,74168,1,922337203,0.006627949852507375,662.7949852507375
A2021,2021-01-11,NUE,Nucor Corporation,LOW,3,3,108480,74168,1,922337203,2.7654867256637168e-05,2.765486725663717
A2021,2021-01-11,ALB,Albemarle Corporation,LOW,4,4,108480,74168,1,922337203,3.687315634218289e-05,3.687315634218289
A2021,2021-01-11,WMT,Walmart Inc.,LOW,185,162,108480,74168,1,922337203,0.0017053834808259587,170.53834808259586
A2021,2021-01-11,META,"Meta Platforms, Inc.",MEDIUM,5593,3872,108480,74168,1,922337203,0.05155789085545723,5155.789085545723
A2021,2021-01-11,CEG,Constellation Energy Corporation,MEDIUM,0,0,108480,74168,1,922337203,0.0,0.0
A2021,2021-01-11,LLY,Eli Lilly and Company,MEDIUM,120,79,108480,74168,1,922337203,0.0011061946902654867,110.61946902654867
A2021,2021-01-11,TSLA,"Tesla, Inc.",MEDIUM,128,104,108480,74168,1,922337203,0.0011799410029498525,117.99410029498524
A2021,2021-01-11,MPC,Marathon Petroleum Corporation,MEDIUM,3,3,108480,74168,1,922337203,2.7654867256637168e-05,2.765486725663717
A2021,2021-01-11,NRG,"NRG Energy, Inc.",MEDIUM,0,0,108480,74168,1,922337203,0.0,0.0
A2021,2021-01-11,WMB,"The Williams Companies, Inc.",MEDIUM,0,0,108480,74168,1,922337203,0.0,0.0
A2021,2021-01-11,IRM,Iron Mountain Incorporated,HIGH,0,0,108480,74168,1,922337203,0.0,0.0
A2021,2021-01-11,MOS,The Mosaic Company,HIGH,2,2,108480,74168,1,922337203,1.8436578171091445e-05,1.8436578171091444
A2021,2021-01-11,TPL,Texas Pacific Land Corporation,MEDIUM,0,0,108480,74168,1,922337203,0.0,0.0
A2021,2021-01-12,NVDA,NVIDIA Corporation,LOW,126,111,128241,85655,1,922337203,0.0009825250894799635,98.25250894799635
A2021,2021-01-12,NFLX,"Netflix, Inc.",LOW,1376,665,128241,85655,1,922337203,0.01072979780257484,1072.979780257484
A2021,2021-01-12,NUE,Nucor Corporation,LOW,0,0,128241,85655,1,922337203,0.0,0.0
A2021,2021-01-12,ALB,Albemarle Corporation,LOW,3,3,128241,85655,1,922337203,2.3393454511427702e-05,2.33934545114277
A2021,2021-01-12,WMT,Walmart Inc.,LOW,321,244,128241,85655,1,922337203,0.0025030996327227643,250.3099632722764
A2021,2021-01-12,META,"Meta Platforms, Inc.",MEDIUM,6117,4398,128241,85655,1,922337203,0.04769925374880109,4769.925374880108
A2021,2021-01-12,CEG,Constellation Energy Corporation,MEDIUM,0,0,128241,85655,1,922337203,0.0,0.0
A2021,2021-01-12,LLY,Eli Lilly and Company,MEDIUM,359,160,128241,85655,1,922337203,0.0027994167232008485,279.9416723200848
A2021,2021-01-12,TSLA,"Tesla, Inc.",MEDIUM,95,63,128241,85655,1,922337203,0.0007407927261952106,74.07927261952106
A2021,2021-01-12,MPC,Marathon Petroleum Corporation,MEDIUM,9,7,128241,85655,1,922337203,7.01803635342831e-05,7.018036353428311
A2021,2021-01-12,NRG,"NRG Energy, Inc.",MEDIUM,0,0,128241,85655,1,922337203,0.0,0.0
A2021,2021-01-12,WMB,"The Williams Companies, Inc.",MEDIUM,0,0,128241,85655,1,922337203,0.0,0.0
A2021,2021-01-12,IRM,Iron Mountain Incorporated,HIGH,0,0,128241,85655,1,922337203,0.0,0.0
A2021,2021-01-12,MOS,The Mosaic Company,HIGH,4,2,128241,85655,1,922337203,3.11912726819036e-05,3.1191272681903603
A2021,2021-01-12,TPL,Texas Pacific Land Corporation,MEDIUM,0,0,128241,85655,1,922337203,0.0,0.0
A2021,2021-01-13,NVDA,NVIDIA Corporation,LOW,140,108,133593,89187,1,922337203,0.001047959099653425,104.79590996534249
A2021,2021-01-13,NFLX,"Netflix, Inc.",LOW,1098,742,133593,89187,1,922337203,0.008218993510139005,821.8993510139004
A2021,2021-01-13,NUE,Nucor Corporation,LOW,2,2,133593,89187,1,922337203,1.4970844280763214e-05,1.4970844280763214
A2021,2021-01-13,ALB,Albemarle Corporation,LOW,4,2,133593,89187,1,922337203,2.9941688561526427e-05,2.9941688561526427
A2021,2021-01-13,WMT,Walmart Inc.,LOW,667,381,133593,89187,1,922337203,0.004992776567634531,499.2776567634532
A2021,2021-01-13,META,"Meta Platforms, Inc.",MEDIUM,6306,4381,133593,89187,1,922337203,0.04720307201724641,4720.307201724641
A2021,2021-01-13,CEG,Constellation Energy Corporation,MEDIUM,0,0,133593,89187,1,922337203,0.0,0.0
A2021,2021-01-13,LLY,Eli Lilly and Company,MEDIUM,61,48,133593,89187,1,922337203,0.000456610750563278,45.6610750563278
A2021,2021-01-13,TSLA,"Tesla, Inc.",MEDIUM,61,54,133593,89187,1,922337203,0.000456610750563278,45.6610750563278
A2021,2021-01-13,MPC,Marathon Petroleum Corporation,MEDIUM,22,12,133593,89187,1,922337203,0.00016467928708839536,16.467928708839533
A2021,2021-01-13,NRG,"NRG Energy, Inc.",MEDIUM,0,0,133593,89187,1,922337203,0.0,0.0
A2021,2021-01-13,WMB,"The Williams Companies, Inc.",MEDIUM,0,0,133593,89187,1,922337203,0.0,0.0
A2021,2021-01-13,IRM,Iron Mountain Incorporated,HIGH,0,0,133593,89187,1,922337203,0.0,0.0
A2021,2021-01-13,MOS,The Mosaic Company,HIGH,5,4,133593,89187,1,922337203,3.7427110701908035e-05,3.7427110701908033
A2021,2021-01-13,TPL,Texas Pacific Land Corporation,MEDIUM,0,0,133593,89187,1,922337203,0.0,0.0
A2021,2021-01-14,NVDA,NVIDIA Corporation,LOW,107,84,130817,86832,1,922337203,0.0008179365067231323,81.79365067231323
A2021,2021-01-14,NFLX,"Netflix, Inc.",LOW,1070,626,130817,86832,1,922337203,0.008179365067231324,817.9365067231323
A2021,2021-01-14,NUE,Nucor Corporation,LOW,3,3,130817,86832,1,922337203,2.29327992539196e-05,2.2932799253919596
A2021,2021-01-14,ALB,Albemarle Corporation,LOW,5,5,130817,86832,1,922337203,3.8221332089865995e-05,3.8221332089865996
A2021,2021-01-14,WMT,Walmart Inc.,LOW,329,265,130817,86832,1,922337203,0.0025149636515131826,251.49636515131826
A2021,2021-01-14,META,"Meta Platforms, Inc.",MEDIUM,5369,4088,130817,86832,1,922337203,0.041042066398098105,4104.20663980981
A2021,2021-01-14,CEG,Constellation Energy Corporation,MEDIUM,0,0,130817,86832,1,922337203,0.0,0.0
A2021,2021-01-14,LLY,Eli Lilly and Company,MEDIUM,48,40,130817,86832,1,922337203,0.0003669247880627136,36.69247880627135
A2021,2021-01-14,TSLA,"Tesla, Inc.",MEDIUM,96,58,130817,86832,1,922337203,0.0007338495761254272,73.3849576125427
A2021,2021-01-14,MPC,Marathon Petroleum Corporation,MEDIUM,18,12,130817,86832,1,922337203,0.0001375967955235176,13.75967955235176
A2021,2021-01-14,NRG,"NRG Energy, Inc.",MEDIUM,0,0,130817,86832,1,922337203,0.0,0.0
