window_id,security_key,issuer_cik,latest_project_ticker,structural_ambiguity_tier,alias_selection_reason,authoritative_name_source_layer,eligible_days,nonzero_days,matched_source_document_weight,total_source_document_weight,attention_share,strict_nonzero_window_flag
W2021,AMGN,0000318154,AMGN,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,62,768867,8.063813377346147e-05,1
W2021,AMP,0000820027,AMP,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,4,10,768867,1.3006150608622818e-05,1
W2021,AMT,,AMT,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,5,39,768867,5.0723987373628986e-05,1
W2021,AMZN,0001018724,AMZN,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,1,3,768867,3.901845182586845e-06,1
W2021,ANET,0001596532,ANET,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,6,14,768867,1.8208610852071944e-05,1
W2021,ANSS,0001013462,ANSS,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STAGE3I_MEMBERSHIP_NAME,7,6,27,768867,3.511660664328161e-05,1
W2021,AON,0000315293,AON,LOW,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,3,5,768867,6.503075304311409e-06,1
W2021,AOS,0000091142,AOS,LOW,CONSERVATIVE_LEGAL_CORE,STAGE3G_AUTHORITATIVE_SAMPLE_NAME,7,1,1,768867,1.3006150608622817e-06,1
W2021,APA,0001841666,APA,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,0,0,768867,0.0,0
W2021,APD,0000002969,APD,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,0,0,768867,0.0,0
W2021,APH,0000820313,APH,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,3,15,768867,1.9509225912934226e-05,1
W2021,APTV,0001521332,APTV,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,3,10,768867,1.3006150608622818e-05,1
W2021,ARE,0001035443,ARE,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,4,16,768867,2.0809840973796508e-05,1
W2021,ATO,0000731802,ATO,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,4,27,768867,3.511660664328161e-05,1
W2021,ATVI,0000718877,ATVI,MEDIUM,CONSERVATIVE_LEGAL_CORE,STAGE3I_MEMBERSHIP_NAME,7,4,4,768867,5.202460243449127e-06,1
W2021,AVB,0000915912,AVB,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,1,1,768867,1.3006150608622817e-06,1
W2021,AVGO,0001730168,AVGO,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,6,32,768867,4.1619681947593016e-05,1
W2021,AVY,0000008818,AVY,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,5,18,768867,2.3411071095521072e-05,1
