security_key,latest_project_ticker,canonical_company_name,project_name_key,structural_ambiguity_tier,stage3b_mapping_status,candidate_sec_cik,sec_nport_observation_rows,sec_nport_in_membership_rows,sec_nport_pre_window_support_rows,sec_nport_unique_name_count,sec_nport_name_keys_pipe,sec_nport_raw_names_pipe,sec_nport_first_observed_date,sec_nport_last_observed_date,project_current_name_seen_in_sec_nport_flag,mapped_alias_event_count,project_period_alias_event_count,sec_former_name_count_for_cik,project_period_sec_former_name_count,pit_name_evidence_status,pit_name_review_flag,review_priority
UA,UA,Under Armour Class C,UNDER ARMOUR,LOW,REVIEW_TICKER_ONLY,0001336917,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
UAA,UAA,Under Armour Class A,UNDER ARMOUR,LOW,REVIEW_TICKER_ONLY,0001336917,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
UNM,UNM,Unum Group,UNUM GROUP,MEDIUM,AUTO_SOURCE_AGREEMENT,0000005513,0,0,0,0,,,,,0,0,0,4,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
VAR,VAR,Varian Medical Systems,VARIAN MEDICAL SYSTEMS,LOW,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
VFC,VFC,V.F.,V F,HIGH,REVIEW_TICKER_ONLY,0000103379,0,0,0,0,,,,,0,0,0,2,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
VNO,VNO,Vornado Realty Trust,VORNADO REALTY TRUST,LOW,AUTO_SOURCE_AGREEMENT,0000899689,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
VNT,VNT,Vontier,VONTIER,HIGH,REVIEW_TICKER_ONLY,0001786842,0,0,0,0,,,,,0,0,0,1,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
WBA,WBA,Walgreens Boots Alliance,WALGREENS BOOTS ALLIANCE,LOW,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
WHR,WHR,Whirlpool,WHIRLPOOL,HIGH,REVIEW_TICKER_ONLY,0000106640,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
WU,WU,The Western Union,WESTERN UNION,LOW,REVIEW_TICKER_ONLY,0001365135,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
XLNX,XLNX,Xilinx,XILINX,HIGH,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
XRAY,XRAY,Dentsply Sirona,DENTSPLY SIRONA,MEDIUM,REVIEW_TICKER_ONLY,0000818479,0,0,0,0,,,,,0,0,0,1,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
XRX,XRX,Xerox Holdings,XEROX,HIGH,REVIEW_TICKER_ONLY,0001770450,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
ZION,ZION,Zions Bancorporation,ZIONS BANCORPORATION,MEDIUM,REVIEW_CONFLICT,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
ABNB,ABNB,Airbnb,AIRBNB,HIGH,REVIEW_TICKER_ONLY,0001559720,10,10,0,1,AIRBNB,Airbnb Inc,2023-09-30,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
ACN,ACN,ACCENTURE PLC CL A,ACCENTURE,LOW,REVIEW_TICKER_ONLY,0001467373,21,20,1,1,ACCENTURE,Accenture PLC,2020-12-31,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
ADM,ADM,ARCHER DANIELS MIDLAND CO,ARCHER DANIELS MIDLAND,LOW,AUTO_SOURCE_AGREEMENT,0000007084,21,20,1,1,ARCHER DANIELS MIDLAND,Archer-Daniels-Midland Co,2020-12-31,2025-12-31,1,0,0,2,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
AIG,AIG,AMERICAN INTERNATIONAL GROUP,AMERICAN INTERNATIONAL GROUP,LOW,REVIEW_TICKER_ONLY,0000005272,21,20,1,1,AMERICAN INTERNATIONAL GROUP,American International Group Inc,2020-12-31,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
AJG,AJG,ARTHUR J GALLAGHER + CO,ARTHUR J GALLAGHER,LOW,REVIEW_TICKER_ONLY,0000354190,21,20,1,1,ARTHUR J GALLAGHER AND,Arthur J Gallagher & Co,2020-12-31,2025-12-31,0,0,0,1,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
AOS,AOS,SMITH (A.O.) CORP,SMITH A O,LOW,AUTO_SOURCE_AGREEMENT,0000091142,21,20,1,1,A O SMITH,A O Smith Corp,2020-12-31,2025-12-31,0,0,0,0,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
APD,APD,AIR PRODUCTS + CHEMICALS INC,AIR PRODUCTS CHEMICALS,LOW,REVIEW_TICKER_ONLY,0000002969,21,20,1,1,AIR PRODUCTS AND CHEMICALS,Air Products and Chemicals Inc,2020-12-31,2025-12-31,0,0,0,1,1,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
APO,APO,Apollo Global Mgt,APOLLO GLOBAL MGT,LOW,REVIEW_TICKER_ONLY,0001858681,5,5,0,1,APOLLO GLOBAL MANAGEMENT,Apollo Global Management Inc,2024-12-31,2025-12-31,0,0,0,1,1,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
ARE,ARE,ALEXANDRIA REAL ESTATE EQUIT,ALEXANDRIA REAL ESTATE EQUIT,LOW,REVIEW_TICKER_ONLY,0001035443,21,20,1,1,ALEXANDRIA REAL ESTATE EQUITIES,Alexandria Real Estate Equities Inc,2020-12-31,2025-12-31,0,0,0,2,1,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
AZO,AZO,AUTOZONE INC,AUTOZONE,HIGH,AUTO_SOURCE_AGREEMENT,0000866787,21,20,1,1,AUTOZONE,AutoZone Inc,2020-12-31,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
BG,BG,Bunge,BUNGE,HIGH,REVIEW_TICKER_ONLY,0001996862,9,9,0,1,BUNGE GLOBAL SA,Bunge Global SA,2023-12-31,2025-12-31,0,0,0,0,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
BLK,BLK,BLACKROCK INC,BLACKROCK,HIGH,AUTO_SOURCE_AGREEMENT,0002012383,21,20,1,1,BLACKROCK,BlackRock Inc|Blackrock Inc,2020-12-31,2025-12-31,1,0,0,2,2,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
BR,BR,BROADRIDGE FINANCIAL SOLUTIO,BROADRIDGE FINANCIAL SOLUTIO,LOW,REVIEW_TICKER_ONLY,0001383312,21,20,1,1,BROADRIDGE FINANCIAL SOLUTIONS,Broadridge Financial Solutions Inc,2020-12-31,2025-12-31,0,0,0,3,1,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
BX,BX,Blackstone,BLACKSTONE,HIGH,REVIEW_TICKER_ONLY,0001393818,10,10,0,1,BLACKSTONE,Blackstone Inc,2023-09-30,2025-12-31,1,0,0,3,2,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
C,C,CITIGROUP INC,CITIGROUP,HIGH,AUTO_SOURCE_AGREEMENT,0000831001,21,20,1,1,CITIGROUP,Citigroup Inc,2020-12-31,2025-12-31,1,0,0,3,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
CAH,CAH,CARDINAL HEALTH INC,CARDINAL HEALTH,MEDIUM,AUTO_SOURCE_AGREEMENT,0000721371,21,20,1,1,CARDINAL HEALTH,Cardinal Health Inc,2020-12-31,2025-12-31,1,0,0,2,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
CBRE,CBRE,CBRE GROUP INC   A,CBRE GROUP INC A,LOW,REVIEW_TICKER_ONLY,0001138118,21,20,1,1,CBRE GROUP,CBRE Group Inc,2020-12-31,2025-12-31,0,0,0,3,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
CCL,CCL,CARNIVAL CORP LTD,CARNIVAL,HIGH,AUTO_SOURCE_AGREEMENT,0000815097,21,20,1,1,CARNIVAL,Carnival Corp,2020-12-31,2025-12-31,1,0,0,2,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
CDNS,CDNS,CADENCE DESIGN SYS INC,CADENCE DESIGN SYS,LOW,REVIEW_TICKER_ONLY,0000813672,21,20,1,1,CADENCE DESIGN SYSTEMS,Cadence Design Systems Inc,2020-12-31,2025-12-31,0,0,0,0,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
CEG,CEG,Constellation Energy,CONSTELLATION ENERGY,MEDIUM,REVIEW_TICKER_ONLY,0001868275,16,16,0,1,CONSTELLATION ENERGY,Constellation Energy Corp,2022-03-31,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
CHD,CHD,CHURCH + DWIGHT CO INC,CHURCH DWIGHT,MEDIUM,REVIEW_TICKER_ONLY,0000313927,21,20,1,1,CHURCH AND DWIGHT,Church & Dwight Co Inc,2020-12-31,2025-12-31,0,0,0,0,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
CHRW,CHRW,C.H. ROBINSON WORLDWIDE INC,C H ROBINSON WORLDWIDE,LOW,AUTO_SOURCE_AGREEMENT,0001043277,21,20,1,1,CH ROBINSON WORLDWIDE,CH Robinson Worldwide Inc,2020-12-31,2025-12-31,0,0,0,1,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
CHTR,CHTR,CHARTER COMMUNICATIONS INC A,CHARTER COMMUNICATIONS INC A,LOW,REVIEW_TICKER_ONLY,0001091667,21,20,1,1,CHARTER COMMUNICATIONS,Charter Communications Inc,2020-12-31,2025-12-31,0,0,0,1,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
CL,CL,COLGATE PALMOLIVE CO,COLGATE PALMOLIVE,MEDIUM,AUTO_SOURCE_AGREEMENT,0000021665,21,20,1,1,COLGATE PALMOLIVE,Colgate-Palmolive Co,2020-12-31,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
CLX,CLX,CLOROX COMPANY,CLOROX,HIGH,REVIEW_TICKER_ONLY,0000021076,21,20,1,1,CLOROX,Clorox Co/The,2020-12-31,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
CNP,CNP,CENTERPOINT ENERGY INC,CENTERPOINT ENERGY,MEDIUM,AUTO_SOURCE_AGREEMENT,0001130310,21,20,1,1,CENTERPOINT ENERGY,CenterPoint Energy Inc,2020-12-31,2025-12-31,1,0,0,2,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
CRL,CRL,Charles River Laboratories Intl,CHARLES RIVER LABORATORIES INTL,LOW,REVIEW_TICKER_ONLY,0001100682,19,19,0,1,CHARLES RIVER LABORATORIES INTERNATIONAL,Charles River Laboratories International Inc,2021-06-30,2025-12-31,0,0,0,2,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
CSGP,CSGP,CoStar Group,COSTAR GROUP,MEDIUM,REVIEW_TICKER_ONLY,0001057352,14,14,0,1,COSTAR GROUP,CoStar Group Inc,2022-09-30,2025-12-31,1,0,0,3,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
CTSH,CTSH,COGNIZANT TECH SOLUTIONS A,COGNIZANT TECH SOLUTIONS A,LOW,REVIEW_TICKER_ONLY,0001058290,21,20,1,1,COGNIZANT TECHNOLOGY SOLUTIONS,Cognizant Technology Solutions Corp,2020-12-31,2025-12-31,0,0,0,0,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
DASH,DASH,DoorDash,DOORDASH,HIGH,REVIEW_TICKER_ONLY,0001792789,4,4,0,1,DOORDASH,DoorDash Inc,2025-03-31,2025-12-31,1,0,0,2,2,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
DE,DE,DEERE + CO,DEERE,HIGH,REVIEW_TICKER_ONLY,0000315189,21,20,1,1,DEERE AND,Deere & Co,2020-12-31,2025-12-31,0,0,0,0,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
EFX,EFX,EQUIFAX INC,EQUIFAX,HIGH,AUTO_SOURCE_AGREEMENT,0000033185,21,20,1,1,EQUIFAX,Equifax Inc,2020-12-31,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
EL,EL,ESTEE LAUDER COMPANIES CL A,ESTEE LAUDER COMPANIES,LOW,REVIEW_TICKER_ONLY,0001001250,21,20,1,1,ESTEE LAUDER COS,Estee Lauder Cos Inc/The,2020-12-31,2025-12-31,0,0,0,0,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
EXE,EXE,Expand Energy,EXPAND ENERGY,MEDIUM,REVIEW_TICKER_ONLY,0000895126,4,4,0,1,EXPAND ENERGY,Expand Energy Corp,2025-03-31,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
EXPD,EXPD,EXPEDITORS INTL WASH INC,EXPEDITORS INTL WASH,LOW,REVIEW_TICKER_ONLY,0000746515,21,20,1,1,EXPEDITORS INTERNATIONAL OF WASHINGTON,Expeditors International of Washington Inc,2020-12-31,2025-12-31,0,0,0,0,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
FANG,FANG,DIAMONDBACK ENERGY INC,DIAMONDBACK ENERGY,MEDIUM,AUTO_SOURCE_AGREEMENT,0001539838,21,20,1,1,DIAMONDBACK ENERGY,Diamondback Energy Inc,2020-12-31,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
FICO,FICO,Fair Isaac & Co,FAIR ISAAC AND,LOW,REVIEW_TICKER_ONLY,0000814547,12,12,0,1,FAIR ISAAC,Fair Isaac Corp,2023-03-31,2025-12-31,0,0,0,1,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
FIS,FIS,FIDELITY NATIONAL INFO SERV,FIDELITY NATIONAL INFO SERV,LOW,REVIEW_TICKER_ONLY,0001136893,21,20,1,1,FIDELITY NATIONAL INFORMATION SERVICES,Fidelity National Information Services Inc,2020-12-31,2025-12-31,0,0,0,2,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
FIX,FIX,Comfort Systems USA,COMFORT SYSTEMS USA,LOW,REVIEW_TICKER_ONLY,0001035983,1,1,0,1,COMFORT SYSTEMS USA,Comfort Systems USA Inc,2025-12-31,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
GEHC,GEHC,GE HealthCare Technologies,GE HEALTHCARE TECHNOLOGIES,LOW,REVIEW_TICKER_ONLY,0001932393,12,12,0,1,GE HEALTHCARE TECHNOLOGIES,GE HealthCare Technologies Inc,2023-03-31,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
GEV,GEV,GE Vernova,GE VERNOVA,MEDIUM,REVIEW_TICKER_ONLY,0001996810,7,7,0,1,GE VERNOVA,GE Vernova Inc,2024-06-30,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
GILD,GILD,GILEAD SCIENCES INC,GILEAD SCIENCES,MEDIUM,AUTO_SOURCE_AGREEMENT,0000882095,21,20,1,1,GILEAD SCIENCES,Gilead Sciences Inc,2020-12-31,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
HBAN,HBAN,HUNTINGTON BANCSHARES INC,HUNTINGTON BANCSHARES,MEDIUM,REVIEW_TICKER_ONLY,0000049196,21,20,1,1,HUNTINGTON BANCSHARES INC OH,Huntington Bancshares Inc/OH,2020-12-31,2025-12-31,0,0,0,2,2,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
HII,HII,HUNTINGTON INGALLS INDUSTRIE,HUNTINGTON INGALLS INDUSTRIE,LOW,REVIEW_TICKER_ONLY,0001501585,21,20,1,1,HUNTINGTON INGALLS INDUSTRIES,Huntington Ingalls Industries Inc,2020-12-31,2025-12-31,0,0,0,2,1,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
HLT,HLT,HILTON WORLDWIDE HOLDINGS IN,HILTON WORLDWIDE HOLDINGS IN,LOW,REVIEW_TICKER_ONLY,0001585689,21,20,1,1,HILTON WORLDWIDE,Hilton Worldwide Holdings Inc,2020-12-31,2025-12-31,0,0,0,0,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
HST,HST,HOST HOTELS + RESORTS INC,HOST HOTELS RESORTS,LOW,REVIEW_TICKER_ONLY,0001070750,21,20,1,1,HOST HOTELS AND RESORTS,Host Hotels & Resorts Inc,2020-12-31,2025-12-31,0,0,0,2,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
IBM,IBM,INTL BUSINESS MACHINES CORP,INTL BUSINESS MACHINES,LOW,REVIEW_TICKER_ONLY,0000051143,21,20,1,1,INTERNATIONAL BUSINESS MACHINES,International Business Machines Corp,2020-12-31,2025-12-31,0,0,0,0,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
ICE,ICE,INTERCONTINENTAL EXCHANGE IN,INTERCONTINENTAL EXCHANGE IN,LOW,REVIEW_TICKER_ONLY,0001571949,21,20,1,1,INTERCONTINENTAL EXCHANGE,Intercontinental Exchange Inc,2020-12-31,2025-12-31,0,0,0,1,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
IFF,IFF,INTL FLAVORS + FRAGRANCES,INTL FLAVORS FRAGRANCES,LOW,REVIEW_TICKER_ONLY,0000051253,21,20,1,1,INTERNATIONAL FLAVORS AND FRAGRANCES,International Flavors & Fragrances Inc,2020-12-31,2025-12-31,0,0,0,0,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
INTU,INTU,INTUIT INC,INTUIT,HIGH,AUTO_SOURCE_AGREEMENT,0000896878,21,20,1,1,INTUIT,Intuit Inc,2020-12-31,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
IVZ,IVZ,INVESCO LTD,INVESCO,HIGH,AUTO_SOURCE_AGREEMENT,0000914208,21,20,1,1,INVESCO,Invesco Ltd,2020-12-31,2025-12-31,1,0,0,6,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
J,J,JACOBS SOLUTIONS INC,JACOBS SOLUTIONS,MEDIUM,AUTO_SOURCE_AGREEMENT,0000052988,14,14,0,1,JACOBS SOLUTIONS,Jacobs Solutions Inc,2022-09-30,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
JBHT,JBHT,HUNT (JB) TRANSPRT SVCS INC,HUNT JB TRANSPRT SVCS,LOW,REVIEW_TICKER_ONLY,0000728535,21,20,1,1,JB HUNT TRANSPORT SERVICES,JB Hunt Transport Services Inc,2020-12-31,2025-12-31,0,0,0,0,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
JCI,JCI,JOHNSON CONTROLS INTERNATION,JOHNSON CONTROLS INTERNATION,LOW,REVIEW_TICKER_ONLY,0000833444,21,20,1,1,JOHNSON CONTROLS INTERNATIONAL,Johnson Controls International plc,2020-12-31,2025-12-31,0,0,0,4,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
JKHY,JKHY,JACK HENRY + ASSOCIATES INC,JACK HENRY ASSOCIATES,LOW,REVIEW_TICKER_ONLY,0000779152,21,20,1,1,JACK HENRY AND ASSOCIATES,Jack Henry & Associates Inc,2020-12-31,2025-12-31,0,0,0,1,1,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
JNJ,JNJ,JOHNSON + JOHNSON,JOHNSON JOHNSON,MEDIUM,REVIEW_TICKER_ONLY,0000200406,21,20,1,1,JOHNSON AND JOHNSON,Johnson & Johnson,2020-12-31,2025-12-31,0,0,0,1,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
JPM,JPM,JPMORGAN CHASE + CO,JPMORGAN CHASE,MEDIUM,REVIEW_TICKER_ONLY,0000019617,21,20,1,1,JPMORGAN CHASE AND,JPMorgan Chase & Co,2020-12-31,2025-12-31,0,0,0,4,1,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
KEYS,KEYS,KEYSIGHT TECHNOLOGIES IN,KEYSIGHT TECHNOLOGIES IN,LOW,REVIEW_TICKER_ONLY,0001601046,21,20,1,1,KEYSIGHT TECHNOLOGIES,Keysight Technologies Inc,2020-12-31,2025-12-31,0,0,0,0,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
KVUE,KVUE,Kenvue,KENVUE,HIGH,REVIEW_TICKER_ONLY,0001944048,10,10,0,1,KENVUE,Kenvue Inc,2023-09-30,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
LEN,LEN,LENNAR CORP A,LENNAR CORP A,LOW,REVIEW_TICKER_ONLY,0000920760,21,20,1,1,LENNAR,Lennar Corp,2020-12-31,2025-12-31,0,0,0,1,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
LH,LH,LABCORP HOLDINGS INC,LABCORP,HIGH,AUTO_SOURCE_AGREEMENT,0000920148,7,7,0,1,LABCORP,Labcorp Holdings Inc,2024-06-30,2025-12-31,1,0,0,2,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
LLY,LLY,ELI LILLY + CO,ELI LILLY,MEDIUM,REVIEW_TICKER_ONLY,0000059478,21,20,1,1,ELI LILLY AND,Eli Lilly & Co|Eli Lilly and Co,2020-12-31,2025-12-31,0,0,0,2,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
LMT,LMT,LOCKHEED MARTIN CORP,LOCKHEED MARTIN,MEDIUM,AUTO_SOURCE_AGREEMENT,0000936468,21,20,1,1,LOCKHEED MARTIN,Lockheed Martin Corp,2020-12-31,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
LNT,LNT,ALLIANT ENERGY CORP,ALLIANT ENERGY,MEDIUM,AUTO_SOURCE_AGREEMENT,0000352541,21,20,1,1,ALLIANT ENERGY,Alliant Energy Corp,2020-12-31,2025-12-31,1,0,0,3,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
LYB,LYB,LYONDELLBASELL INDU CL A,LYONDELLBASELL INDU,LOW,REVIEW_TICKER_ONLY,0001489393,21,20,1,1,LYONDELLBASELL INDUSTRIES NV,LyondellBasell Industries NV,2020-12-31,2025-12-31,0,0,0,0,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
LYV,LYV,LIVE NATION ENTERTAINMENT IN,LIVE NATION ENTERTAINMENT IN,LOW,REVIEW_TICKER_ONLY,0001335258,21,20,1,1,LIVE NATION ENTERTAINMENT,Live Nation Entertainment Inc,2020-12-31,2025-12-31,0,0,0,2,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
MA,MA,MASTERCARD INC   A,MASTERCARD INC A,LOW,REVIEW_TICKER_ONLY,0001141391,21,20,1,1,MASTERCARD,Mastercard Inc,2020-12-31,2025-12-31,0,0,0,0,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
MAA,MAA,MID AMERICA APARTMENT COMM,MID AMERICA APARTMENT COMM,LOW,REVIEW_TICKER_ONLY,0000912595,21,20,1,1,MID AMERICA APARTMENT COMMUNITIES,Mid-America Apartment Communities Inc,2020-12-31,2025-12-31,0,0,0,1,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
MAR,MAR,MARRIOTT INTERNATIONAL  CL A,MARRIOTT INTERNATIONAL,LOW,REVIEW_TICKER_ONLY,0001048286,21,20,1,1,MARRIOTT INTERNATIONAL INC MD,Marriott International Inc/MD,2020-12-31,2025-12-31,0,0,0,2,1,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
MDLZ,MDLZ,MONDELEZ INTERNATIONAL INC A,MONDELEZ INTERNATIONAL INC A,LOW,REVIEW_TICKER_ONLY,0001103982,21,20,1,1,MONDELEZ INTERNATIONAL,Mondelez International Inc,2020-12-31,2025-12-31,0,0,0,1,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
MKC,MKC,MCCORMICK + CO NON VTG SHRS,MCCORMICK CO NON VTG SHRS,LOW,REVIEW_TICKER_ONLY,0000063754,21,20,1,1,MCCORMICK AND CO INC MD,McCormick & Co Inc/MD,2020-12-31,2025-12-31,0,0,0,1,1,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
MPWR,MPWR,Monolithic Power Systems,MONOLITHIC POWER SYSTEMS,LOW,REVIEW_TICKER_ONLY,0001280452,20,20,0,1,MONOLITHIC POWER SYSTEMS,Monolithic Power Systems Inc,2021-03-31,2025-12-31,1,0,0,1,1,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
MRK,MRK,MERCK + CO. INC.,MERCK,HIGH,REVIEW_TICKER_ONLY,0000310158,21,20,1,1,MERCK AND,Merck & Co Inc,2020-12-31,2025-12-31,0,0,0,2,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
MRSH,MRSH,MARSH + MCLENNAN COS,MARSH MCLENNAN COS,LOW,REVIEW_TICKER_ONLY,0000062709,21,20,1,1,MARSH AND MCLENNAN COS,Marsh & McLennan Cos Inc,2020-12-31,2025-12-31,0,0,0,1,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
MS,MS,MORGAN STANLEY,MORGAN STANLEY,MEDIUM,AUTO_SOURCE_AGREEMENT,0000895421,21,20,1,1,MORGAN STANLEY,Morgan Stanley,2020-12-31,2025-12-31,1,0,0,5,2,REVIEW_PROJECT_PERIOD_NAME_EVENT_EVIDENCE,1,2
MTB,MTB,M + T BANK CORP,M T BANK,HIGH,REVIEW_TICKER_ONLY,0000036270,21,20,1,1,M AND T BANK,M&T Bank Corp,2020-12-31,2025-12-31,0,0,0,1,0,REVIEW_PROJECT_NAME_DIFFERS_FROM_SEC_NPORT,1,2
