security_key,issuer_cik,issuer_cik_source,latest_project_ticker,structural_ambiguity_tier,ticker_like_exact_name_flag,membership_valid_from,membership_valid_to_exclusive,alias_valid_from,alias_valid_to_exclusive,authoritative_state_name,authoritative_name_source_layer,state_basis,full_normalized_alias,legal_core_alias,production_alias,alias_selection_reason,bare_ticker_qualification_source,matching_mode,policy_id,policy_sha256,bare_ticker_alias_flag
ADI,0000006281,STAGE3B2_CANDIDATE_CIK,ADI,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Analog Devices Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,analog devices inc,analog devices,analog devices,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
ADM,0000007084,STAGE3B2_CANDIDATE_CIK,ADM,LOW,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Archer-Daniels-Midland Co,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,archer daniels midland co,archer daniels midland,archer daniels midland,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
ADP,0000008670,STAGE3B2_CANDIDATE_CIK,ADP,LOW,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Automatic Data Processing Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,automatic data processing inc,automatic data processing,automatic data processing,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
ADSK,0000769397,STAGE3B2_CANDIDATE_CIK,ADSK,HIGH,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Autodesk Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,autodesk inc,autodesk,autodesk inc,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
AEE,0001002910,STAGE3B2_CANDIDATE_CIK,AEE,HIGH,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Ameren Corp,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,ameren corp,ameren,ameren corp,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
AEP,0000004904,STAGE3B2_CANDIDATE_CIK,AEP,LOW,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,American Electric Power Co Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,american electric power co inc,american electric power,american electric power,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
AES,0000874761,STAGE3B2_CANDIDATE_CIK,AES,HIGH,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,AES Corp/The,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,aes corp,aes,aes corp,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
AFL,0000004977,STAGE3B2_CANDIDATE_CIK,AFL,HIGH,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Aflac Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,aflac inc,aflac,aflac inc,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
AIG,0000005272,STAGE3B2_CANDIDATE_CIK,AIG,LOW,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,American International Group Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,american international group inc,american international group,american international group,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
AIZ,0001267238,STAGE3B2_CANDIDATE_CIK,AIZ,HIGH,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Assurant Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,assurant inc,assurant,assurant inc,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
