date,year,source_url,resolved_source_url,source_file_sha256,source_file_md5,source_file_bytes,parsed_rows,malformed_rows,malformed_row_rate,total_source_document_weight,active_security_count,unique_active_alias_count,status,download_pass,catalog_listed_flag,catalog_md5,catalog_size_bytes,catalog_size_match_flag,catalog_md5_verified_flag,stage3j_manifest_sha256,protocol_sha256,cache_schema_version,parser_contract_version,download_error,runner_script_version
2025-06-21,2025,https://data.gdeltproject.org/gkg/20250621.gkg.csv.zip,,,,,,,,,503,500,DOWNLOAD_FAILED_NOT_IN_LOADED_CATALOG,DEFERRED_RETRY,0,,,,,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,ab400af7220f4b10a60672c5d6fa1719b14b319bf6d6d9b60a4e7bcfb28e780c,H3_GDELT_GKG_DAILY_SECURITY_CACHE_V1,H3_GKG1_NUMARTS_ORGANIZATION_EXACT_V1,Download failed after 6 attempts per endpoint: https://data.gdeltproject.org/gkg/20250621.gkg.csv.zip | HTTP Error 404: Not Found | history=url=http://data.gdeltproject.org/gkg/20250621.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250621.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250621.gkg.csv.zip attempt=3 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250621.gkg.csv.zip attempt=4 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250621.gkg.csv.zip attempt=5 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250621.gkg.csv.zip attempt=6 http=404 error=HTTP Error 404: Not Found,
2025-06-22,2025,https://data.gdeltproject.org/gkg/20250622.gkg.csv.zip,,,,,,,,,503,500,DOWNLOAD_FAILED_NOT_IN_LOADED_CATALOG,DEFERRED_RETRY,0,,,,,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,ab400af7220f4b10a60672c5d6fa1719b14b319bf6d6d9b60a4e7bcfb28e780c,H3_GDELT_GKG_DAILY_SECURITY_CACHE_V1,H3_GKG1_NUMARTS_ORGANIZATION_EXACT_V1,Download failed after 6 attempts per endpoint: https://data.gdeltproject.org/gkg/20250622.gkg.csv.zip | HTTP Error 404: Not Found | history=url=http://data.gdeltproject.org/gkg/20250622.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250622.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250622.gkg.csv.zip attempt=3 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250622.gkg.csv.zip attempt=4 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250622.gkg.csv.zip attempt=5 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250622.gkg.csv.zip attempt=6 http=404 error=HTTP Error 404: Not Found,
2025-06-23,2025,https://data.gdeltproject.org/gkg/20250623.gkg.csv.zip,,,,,,,,,503,500,DOWNLOAD_FAILED_NOT_IN_LOADED_CATALOG,DEFERRED_RETRY,0,,,,,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,ab400af7220f4b10a60672c5d6fa1719b14b319bf6d6d9b60a4e7bcfb28e780c,H3_GDELT_GKG_DAILY_SECURITY_CACHE_V1,H3_GKG1_NUMARTS_ORGANIZATION_EXACT_V1,Download failed after 6 attempts per endpoint: https://data.gdeltproject.org/gkg/20250623.gkg.csv.zip | HTTP Error 404: Not Found | history=url=http://data.gdeltproject.org/gkg/20250623.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250623.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250623.gkg.csv.zip attempt=3 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250623.gkg.csv.zip attempt=4 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250623.gkg.csv.zip attempt=5 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250623.gkg.csv.zip attempt=6 http=404 error=HTTP Error 404: Not Found,
2025-06-24,2025,https://data.gdeltproject.org/gkg/20250624.gkg.csv.zip,,,,,,,,,503,500,DOWNLOAD_FAILED_NOT_IN_LOADED_CATALOG,DEFERRED_RETRY,0,,,,,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,ab400af7220f4b10a60672c5d6fa1719b14b319bf6d6d9b60a4e7bcfb28e780c,H3_GDELT_GKG_DAILY_SECURITY_CACHE_V1,H3_GKG1_NUMARTS_ORGANIZATION_EXACT_V1,Download failed after 6 attempts per endpoint: https://data.gdeltproject.org/gkg/20250624.gkg.csv.zip | HTTP Error 404: Not Found | history=url=http://data.gdeltproject.org/gkg/20250624.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250624.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250624.gkg.csv.zip attempt=3 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250624.gkg.csv.zip attempt=4 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250624.gkg.csv.zip attempt=5 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250624.gkg.csv.zip attempt=6 http=404 error=HTTP Error 404: Not Found,
2025-06-25,2025,https://data.gdeltproject.org/gkg/20250625.gkg.csv.zip,,,,,,,,,503,500,DOWNLOAD_FAILED_NOT_IN_LOADED_CATALOG,DEFERRED_RETRY,0,,,,,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,ab400af7220f4b10a60672c5d6fa1719b14b319bf6d6d9b60a4e7bcfb28e780c,H3_GDELT_GKG_DAILY_SECURITY_CACHE_V1,H3_GKG1_NUMARTS_ORGANIZATION_EXACT_V1,Download failed after 6 attempts per endpoint: https://data.gdeltproject.org/gkg/20250625.gkg.csv.zip | HTTP Error 404: Not Found | history=url=http://data.gdeltproject.org/gkg/20250625.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250625.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250625.gkg.csv.zip attempt=3 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250625.gkg.csv.zip attempt=4 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250625.gkg.csv.zip attempt=5 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250625.gkg.csv.zip attempt=6 http=404 error=HTTP Error 404: Not Found,
2025-06-26,2025,https://data.gdeltproject.org/gkg/20250626.gkg.csv.zip,,,,,,,,,503,500,DOWNLOAD_FAILED_NOT_IN_LOADED_CATALOG,DEFERRED_RETRY,0,,,,,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,ab400af7220f4b10a60672c5d6fa1719b14b319bf6d6d9b60a4e7bcfb28e780c,H3_GDELT_GKG_DAILY_SECURITY_CACHE_V1,H3_GKG1_NUMARTS_ORGANIZATION_EXACT_V1,Download failed after 6 attempts per endpoint: https://data.gdeltproject.org/gkg/20250626.gkg.csv.zip | HTTP Error 404: Not Found | history=url=http://data.gdeltproject.org/gkg/20250626.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250626.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250626.gkg.csv.zip attempt=3 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250626.gkg.csv.zip attempt=4 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250626.gkg.csv.zip attempt=5 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250626.gkg.csv.zip attempt=6 http=404 error=HTTP Error 404: Not Found,
2025-06-27,2025,https://data.gdeltproject.org/gkg/20250627.gkg.csv.zip,,,,,,,,,503,500,DOWNLOAD_FAILED_NOT_IN_LOADED_CATALOG,DEFERRED_RETRY,0,,,,,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,ab400af7220f4b10a60672c5d6fa1719b14b319bf6d6d9b60a4e7bcfb28e780c,H3_GDELT_GKG_DAILY_SECURITY_CACHE_V1,H3_GKG1_NUMARTS_ORGANIZATION_EXACT_V1,Download failed after 6 attempts per endpoint: https://data.gdeltproject.org/gkg/20250627.gkg.csv.zip | HTTP Error 404: Not Found | history=url=http://data.gdeltproject.org/gkg/20250627.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250627.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250627.gkg.csv.zip attempt=3 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250627.gkg.csv.zip attempt=4 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250627.gkg.csv.zip attempt=5 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250627.gkg.csv.zip attempt=6 http=404 error=HTTP Error 404: Not Found,
2025-06-28,2025,https://data.gdeltproject.org/gkg/20250628.gkg.csv.zip,,,,,,,,,503,500,DOWNLOAD_FAILED_NOT_IN_LOADED_CATALOG,DEFERRED_RETRY,0,,,,,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,ab400af7220f4b10a60672c5d6fa1719b14b319bf6d6d9b60a4e7bcfb28e780c,H3_GDELT_GKG_DAILY_SECURITY_CACHE_V1,H3_GKG1_NUMARTS_ORGANIZATION_EXACT_V1,Download failed after 6 attempts per endpoint: https://data.gdeltproject.org/gkg/20250628.gkg.csv.zip | HTTP Error 404: Not Found | history=url=http://data.gdeltproject.org/gkg/20250628.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250628.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250628.gkg.csv.zip attempt=3 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250628.gkg.csv.zip attempt=4 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250628.gkg.csv.zip attempt=5 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250628.gkg.csv.zip attempt=6 http=404 error=HTTP Error 404: Not Found,
2025-06-29,2025,https://data.gdeltproject.org/gkg/20250629.gkg.csv.zip,,,,,,,,,503,500,DOWNLOAD_FAILED_NOT_IN_LOADED_CATALOG,DEFERRED_RETRY,0,,,,,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,ab400af7220f4b10a60672c5d6fa1719b14b319bf6d6d9b60a4e7bcfb28e780c,H3_GDELT_GKG_DAILY_SECURITY_CACHE_V1,H3_GKG1_NUMARTS_ORGANIZATION_EXACT_V1,Download failed after 6 attempts per endpoint: https://data.gdeltproject.org/gkg/20250629.gkg.csv.zip | HTTP Error 404: Not Found | history=url=http://data.gdeltproject.org/gkg/20250629.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250629.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250629.gkg.csv.zip attempt=3 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250629.gkg.csv.zip attempt=4 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250629.gkg.csv.zip attempt=5 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250629.gkg.csv.zip attempt=6 http=404 error=HTTP Error 404: Not Found,
2025-06-30,2025,https://data.gdeltproject.org/gkg/20250630.gkg.csv.zip,,,,,,,,,503,500,DOWNLOAD_FAILED_NOT_IN_LOADED_CATALOG,DEFERRED_RETRY,0,,,,,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,ab400af7220f4b10a60672c5d6fa1719b14b319bf6d6d9b60a4e7bcfb28e780c,H3_GDELT_GKG_DAILY_SECURITY_CACHE_V1,H3_GKG1_NUMARTS_ORGANIZATION_EXACT_V1,Download failed after 6 attempts per endpoint: https://data.gdeltproject.org/gkg/20250630.gkg.csv.zip | HTTP Error 404: Not Found | history=url=http://data.gdeltproject.org/gkg/20250630.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250630.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250630.gkg.csv.zip attempt=3 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250630.gkg.csv.zip attempt=4 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250630.gkg.csv.zip attempt=5 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250630.gkg.csv.zip attempt=6 http=404 error=HTTP Error 404: Not Found,
