month,expected_calendar_days,source_available_days,source_missing_days,source_coverage_rate,global_primary_attention_eligible_flag,primary_attention_exclusion_reason,fail_closed_policy_id,fail_closed_policy_sha256,source_gap_policy_sha256
2023-09,30,30,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2023-10,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2023-11,30,30,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2023-12,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2024-01,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2024-02,29,29,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2024-03,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2024-04,30,30,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2024-05,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2024-06,30,30,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2024-07,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2024-08,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2024-09,30,30,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2024-10,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2024-11,30,30,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2024-12,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2025-01,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2025-02,28,28,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2025-03,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2025-04,30,30,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2025-05,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2025-06,30,13,17,0.4333333333333333,0,GLOBAL_GKG1_SOURCE_COVERAGE_BELOW_FROZEN_90PCT,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2025-07,31,30,1,0.967741935483871,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2025-08,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2025-09,30,30,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2025-10,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2025-11,30,30,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2025-12,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
