month,expected_calendar_days,source_available_days,source_missing_days,source_coverage_rate,global_primary_attention_eligible_flag,primary_attention_exclusion_reason,fail_closed_policy_id,fail_closed_policy_sha256,source_gap_policy_sha256
2022-10,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2022-11,30,29,1,0.9666666666666668,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2022-12,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2023-01,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2023-02,28,28,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2023-03,31,29,2,0.935483870967742,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2023-04,30,30,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2023-05,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2023-06,30,30,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2023-07,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2023-08,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
