window_id,eligible_security_count,strict_nonzero_security_count,total_matched_source_document_weight,total_source_document_weight,strict_nonzero_security_rate
W2021,505,384,117663,388277835,0.7603960396039604
W2022,504,403,49307,297166464,0.7996031746031746
W2023,503,413,25910,411627535,0.8210735586481114
W2024,503,405,21581,350241415,0.805168986083499
W2025,504,389,19185,300532943,0.7718253968253969
