year,expected_calendar_days,source_available_days,source_missing_days,source_coverage_rate
2021,365,365,0,1.0
2022,365,364,1,0.9972602739726028
2023,365,363,2,0.9945205479452055
2024,366,366,0,1.0
2025,365,347,18,0.9506849315068493
