security_key,latest_project_ticker,canonical_company_name,candidate_sec_cik,original_reconciliation_status,sec_current_name,sec_current_registry_core,nport_raw_names_pipe,nport_registry_cores_pipe,nport_registry_core_count,sec_nport_authoritative_agreement_flag,project_period_sec_former_name_rows,former_name_date_complete_flag,former_name_registry_cores_pipe,all_former_names_same_authoritative_core_flag,stage3f_status,stage3f_rationale
MA,MA,MASTERCARD INC   A,0001141391,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Mastercard Inc,MASTERCARD,Mastercard Inc,MASTERCARD,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
MAA,MAA,MID AMERICA APARTMENT COMM,0000912595,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,MID AMERICA APARTMENT COMMUNITIES INC.,MID AMERICA APARTMENT COMMUNITIES,Mid-America Apartment Communities Inc,MID AMERICA APARTMENT COMMUNITIES,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
MDLZ,MDLZ,MONDELEZ INTERNATIONAL INC A,0001103982,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,"Mondelez International, Inc.",MONDELEZ INTERNATIONAL,Mondelez International Inc,MONDELEZ INTERNATIONAL,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
MRK,MRK,MERCK + CO. INC.,0000310158,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,"Merck & Co., Inc.",MERCK AND,Merck & Co Inc,MERCK AND,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
MTB,MTB,M + T BANK CORP,0000036270,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,M&T BANK CORP,M AND T BANK,M&T Bank Corp,M AND T BANK,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
NCLH,NCLH,NORWEGIAN CRUISE LINE HOLDIN,0001513761,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Norwegian Cruise Line Holdings Ltd.,NORWEGIAN CRUISE LINE HOLDINGS,Norwegian Cruise Line Holdings Ltd,NORWEGIAN CRUISE LINE HOLDINGS,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
PEG,PEG,PUBLIC SERVICE ENTERPRISE GP,0000788784,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,PUBLIC SERVICE ENTERPRISE GROUP INC,PUBLIC SERVICE ENTERPRISE GROUP,Public Service Enterprise Group Inc,PUBLIC SERVICE ENTERPRISE GROUP,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
PG,PG,PROCTER + GAMBLE CO/THE,0000080424,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,PROCTER & GAMBLE Co,PROCTER AND GAMBLE,Procter & Gamble Co/The,PROCTER AND GAMBLE,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
SJM,SJM,JM SMUCKER CO/THE,0000091419,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,J M SMUCKER Co,J M SMUCKER,J M Smucker Co/The,J M SMUCKER,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
SPGI,SPGI,S+P GLOBAL INC,0000064040,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,S&P Global Inc.,S AND P GLOBAL,S&P Global Inc,S AND P GLOBAL,1,1,0,1,,0,RESOLVED_AUTHORITATIVE_SEC_NPORT_AGREEMENT_PROJECT_REFERENCE_PRESENTATION_DIFFERENCE,SEC current filer name and the single historical NPORT issuer name agree under conservative registry normalization. The project company_name_reference is therefore treated as a provider/presentation label rather than the authoritative GDELT issuer-name source.
