security_key,issuer_cik,latest_project_ticker,structural_ambiguity_tier,eligible_anchor_windows,nonzero_anchor_windows,total_matched_source_document_weight,total_source_document_weight,any_nonzero_window_flag,two_plus_nonzero_windows_flag,nonzero_window_rate
C,0000831001,C,HIGH,5,5,1141,3470614,1,1,1.0
CAG,0000023217,CAG,MEDIUM,5,5,130,3470614,1,1,1.0
CAH,0000721371,CAH,MEDIUM,5,5,444,3470614,1,1,1.0
CARR,0001783180,CARR,MEDIUM,5,5,38,3470614,1,1,1.0
CAT,0000018230,CAT,HIGH,5,5,189,3470614,1,1,1.0
CB,0000896159,CB,HIGH,5,4,24,3470614,1,1,0.8
CBOE,0001374310,CBOE,LOW,5,5,51,3470614,1,1,1.0
CBRE,0001138118,CBRE,LOW,5,3,3,3470614,1,1,0.6
CCI,0001051470,CCI,MEDIUM,5,5,37,3470614,1,1,1.0
CCL,0000815097,CCL,HIGH,5,5,121,3470614,1,1,1.0
CDNS,0000813672,CDNS,LOW,5,5,75,3470614,1,1,1.0
CDW,0001402057,CDW,LOW,5,0,0,3470614,0,0,0.0
CE,0001306830,CE,HIGH,4,4,83,2873133,1,1,1.0
CEG,0001868275,CEG,MEDIUM,4,4,136,2701747,1,1,1.0
CERN,0000804753,CERN,HIGH,2,2,190,1358483,1,1,1.0
CF,0001324404,CF,MEDIUM,5,5,74,3470614,1,1,1.0
CFG,0000759944,CFG,LOW,5,5,102,3470614,1,1,1.0
CHD,0000313927,CHD,MEDIUM,5,1,1,3470614,1,0,0.2
CHRW,0001043277,CHRW,LOW,5,5,30,3470614,1,1,1.0
CHTR,0001091667,CHTR,LOW,5,5,147,3470614,1,1,1.0
CI,0001739940,CI,LOW,5,5,202,3470614,1,1,1.0
CINF,0000020286,CINF,MEDIUM,5,5,16,3470614,1,1,1.0
CL,0000021665,CL,MEDIUM,5,5,43,3470614,1,1,1.0
CLX,0000021076,CLX,HIGH,5,1,1,3470614,1,0,0.2
CMA,0000028412,CMA,HIGH,3,3,139,2176828,1,1,1.0
CMCSA,0001166691,CMCSA,LOW,5,5,1855,3470614,1,1,1.0
CME,0001156375,CME,MEDIUM,5,4,9,3470614,1,1,0.8
CMG,0001058090,CMG,LOW,5,5,489,3470614,1,1,1.0
CMI,0000026172,CMI,HIGH,5,5,127,3470614,1,1,1.0
CMS,0000811156,CMS,MEDIUM,5,1,1,3470614,1,0,0.2
CNC,0001071739,CNC,HIGH,5,5,25,3470614,1,1,1.0
CNP,0001130310,CNP,MEDIUM,5,5,111,3470614,1,1,1.0
COF,0000927628,COF,LOW,5,5,75,3470614,1,1,1.0
COIN,0001679788,COIN,MEDIUM,1,1,34,597481,1,0,1.0
COO,0000711404,COO,LOW,5,0,0,3470614,0,0,0.0
COP,0001163165,COP,HIGH,5,5,556,3470614,1,1,1.0
COR,0001140859,COR,HIGH,5,5,257,3470614,1,1,1.0
COST,0000909832,COST,MEDIUM,5,5,191,3470614,1,1,1.0
CPAY,0001175454,CPAY,HIGH,5,5,16,3470614,1,1,1.0
CPB,0000016732,CPB,LOW,5,4,73,3470614,1,1,0.8
CPRT,0000900075,CPRT,HIGH,5,2,10,3470614,1,1,0.4
CPT,0000906345,CPT,LOW,4,4,18,2701747,1,1,1.0
CRL,0001100682,CRL,LOW,4,4,90,2701747,1,1,1.0
CRM,0001108524,CRM,HIGH,5,5,106,3470614,1,1,1.0
CRWD,0001535527,CRWD,HIGH,2,2,49,1293786,1,1,1.0
CSCO,0000858877,CSCO,MEDIUM,5,5,934,3470614,1,1,1.0
CSGP,0001057352,CSGP,MEDIUM,3,3,77,2112131,1,1,1.0
CSX,0000277948,CSX,HIGH,5,0,0,3470614,0,0,0.0
CTAS,0000723254,CTAS,HIGH,5,4,14,3470614,1,1,0.8
CTLT,0001596783,CTLT,HIGH,4,4,32,2873133,1,1,1.0
CTRA,,CTRA,MEDIUM,5,4,44,3470614,1,1,0.8
CTSH,0001058290,CTSH,LOW,5,5,92,3470614,1,1,1.0
CTVA,0001755672,CTVA,HIGH,5,5,31,3470614,1,1,1.0
CTXS,0000877890,CTXS,MEDIUM,2,2,57,1358483,1,1,1.0
CVS,0000064803,CVS,MEDIUM,5,5,28,3470614,1,1,1.0
CVX,0000093410,CVX,HIGH,5,5,434,3470614,1,1,1.0
CXO,,CXO,MEDIUM,1,1,13,768867,1,0,1.0
CZR,0001590895,CZR,MEDIUM,3,3,221,2104266,1,1,1.0
D,0000715957,D,MEDIUM,5,5,455,3470614,1,1,1.0
DAL,0000027904,DAL,LOW,5,5,2899,3470614,1,1,1.0
DASH,0001792789,DASH,HIGH,1,1,9,597481,1,0,1.0
DAY,,DAY,MEDIUM,4,3,13,2701747,1,1,0.75
DD,0001666700,DD,LOW,5,5,141,3470614,1,1,1.0
DDOG,0001561550,DDOG,HIGH,1,1,17,597481,1,0,1.0
DE,0000315189,DE,HIGH,5,0,0,3470614,0,0,0.0
DECK,0000910521,DECK,MEDIUM,2,2,14,1293786,1,1,1.0
DELL,0001571996,DELL,MEDIUM,2,2,26,1293786,1,1,1.0
DFS,0001393612,DFS,LOW,4,0,0,2873133,0,0,0.0
DG,0000029534,DG,MEDIUM,5,5,62,3470614,1,1,1.0
DGX,0001022079,DGX,MEDIUM,5,5,169,3470614,1,1,1.0
DHI,0000882184,DHI,MEDIUM,5,1,1,3470614,1,0,0.2
DHR,,DHR,HIGH,5,5,34,3470614,1,1,1.0
DIS,0001744489,DIS,LOW,5,5,3017,3470614,1,1,1.0
DISCA,0001437107,DISCA,LOW,1,1,23,768867,1,0,1.0
DISCK,0001437107,DISCK,LOW,1,1,23,768867,1,0,1.0
DISH,,DISH,MEDIUM,2,0,0,1358483,0,0,0.0
DLR,0001297996,DLR,LOW,5,5,43,3470614,1,1,1.0
DLTR,0000935703,DLTR,MEDIUM,5,5,329,3470614,1,1,1.0
DOC,0000765880,DOC,MEDIUM,5,5,17,3470614,1,1,1.0
DOV,0000029905,DOV,HIGH,5,2,2,3470614,1,1,0.4
DOW,0001751788,DOW,HIGH,5,5,163,3470614,1,1,1.0
DPZ,0001286681,DPZ,LOW,5,1,1,3470614,1,0,0.2
DRE,0000783280,DRE,MEDIUM,2,1,5,1358483,1,0,0.5
DRI,0000940944,DRI,MEDIUM,5,5,82,3470614,1,1,1.0
DTE,0000936340,DTE,MEDIUM,5,3,14,3470614,1,1,0.6
DUK,0001326160,DUK,MEDIUM,5,5,927,3470614,1,1,1.0
DVA,0000927066,DVA,HIGH,5,4,61,3470614,1,1,0.8
DVN,0001090012,DVN,MEDIUM,5,5,230,3470614,1,1,1.0
DXC,0001688568,DXC,MEDIUM,3,0,0,2176828,0,0,0.0
DXCM,0001093557,DXCM,HIGH,5,5,92,3470614,1,1,1.0
EA,,EA,MEDIUM,5,5,441,3470614,1,1,1.0
EBAY,0001065088,EBAY,HIGH,5,2,2,3470614,1,1,0.4
ECL,0000031462,ECL,HIGH,5,5,90,3470614,1,1,1.0
ED,0001047862,ED,MEDIUM,5,5,38,3470614,1,1,1.0
EFX,0000033185,EFX,HIGH,5,5,25,3470614,1,1,1.0
EG,0001095073,EG,MEDIUM,5,5,115,3470614,1,1,1.0
EIX,0000827052,EIX,MEDIUM,5,5,53,3470614,1,1,1.0
EL,0001001250,EL,LOW,5,0,0,3470614,0,0,0.0
ELV,0001156039,ELV,MEDIUM,5,5,96,3470614,1,1,1.0
EME,0000105634,EME,MEDIUM,1,0,0,597481,0,0,0.0
EMN,0000915389,EMN,MEDIUM,4,4,148,2873133,1,1,1.0
EMR,0000032604,EMR,MEDIUM,5,5,246,3470614,1,1,1.0
ENPH,0001463101,ENPH,MEDIUM,4,4,97,2873133,1,1,1.0
EOG,0000821189,EOG,MEDIUM,5,4,9,3470614,1,1,0.8
EPAM,0001352010,EPAM,MEDIUM,4,1,2,2701747,1,0,0.25
EQIX,0001101239,EQIX,HIGH,5,5,43,3470614,1,1,1.0
EQR,,EQR,MEDIUM,5,4,23,3470614,1,1,0.8
EQT,0000033213,EQT,HIGH,3,0,0,2112131,0,0,0.0
ERIE,0000922621,ERIE,MEDIUM,2,1,1,1293786,1,0,0.5
ES,0000072741,ES,MEDIUM,5,5,56,3470614,1,1,1.0
ESS,0000920522,ESS,LOW,5,4,6,3470614,1,1,0.8
ETN,0001551182,ETN,HIGH,5,1,2,3470614,1,0,0.2
ETR,0000065984,ETR,HIGH,5,3,10,3470614,1,1,0.6
ETSY,0001370637,ETSY,HIGH,3,3,40,2176828,1,1,1.0
EVRG,0001711269,EVRG,HIGH,5,5,23,3470614,1,1,1.0
EW,0001099800,EW,MEDIUM,5,5,69,3470614,1,1,1.0
EXC,0001109357,EXC,HIGH,5,4,15,3470614,1,1,0.8
EXE,0000895126,EXE,MEDIUM,1,0,0,597481,0,0,0.0
EXPD,0000746515,EXPD,LOW,5,5,15,3470614,1,1,1.0
