analysis_month_number,ranking_month_end_date,return_period_end_date,security_key,project_ticker,gics_sector,sector_equal_weight,forward_return_1m,spy_return,sector_equal_weight_return,winner_sector_return,alpha_monthly,beta_spy,beta_sector_equal_weight,fitted_sector_winner_return,security_return_minus_sector_fitted,sector_residual_contribution,aggregate_commonality_contribution,absolute_commonality_contribution,within_month_absolute_rank
1,2021-01-29,2021-02-26,TWTR,TWTR,Communication Services,0.2,0.5250346328913518,0.0278056199000658,0.1099145705321884,0.0919192587030242,-0.0011326615807789,0.3094308316009315,0.7351573881135401,0.08827576309614298,0.4367588697952088,0.08735177395904176,0.007941070359912887,0.007941070359912887,1
1,2021-01-29,2021-02-26,CTRA,CTRA,Energy,0.25,0.00981996726055856,0.0278056199000658,0.2344845774915865,0.1320389213808325,0.003019347214308,0.1509890622137699,1.023029321771844,0.2471022899644666,-0.23728232270390803,-0.05932058067597701,-0.005392780061452455,0.005392780061452455,2
1,2021-01-29,2021-02-26,WMB,WMB,Energy,0.25,0.0758359541836593,0.0278056199000658,0.2344845774915865,0.1320389213808325,0.003019347214308,0.1509890622137699,1.023029321771844,0.2471022899644666,-0.1712663357808073,-0.042816583945201825,-0.003892416722291075,0.003892416722291075,3
1,2021-01-29,2021-02-26,FCX,FCX,Materials,0.2,0.26012637412221373,0.0278056199000658,0.0622505602323511,0.0416626110129398,0.0022780784293218,0.2501318203732707,0.911333598170212,0.06596417579619254,0.1941621983260212,0.03883243966520424,0.0035302217877458404,0.0035302217877458404,4
1,2021-01-29,2021-02-26,DD,DD,Materials,0.2,-0.11109179384850343,0.0278056199000658,0.0622505602323511,0.0416626110129398,0.0022780784293218,0.2501318203732707,0.911333598170212,0.06596417579619254,-0.17705596964469597,-0.0354111939289392,-0.0032191994480853816,0.0032191994480853816,5
1,2021-01-29,2021-02-26,EL,EL,Consumer Staples,0.16666666666666666,0.21012299459396644,0.0278056199000658,-0.0044732064568394,0.0060710696079246,0.0054621092043662,0.1027896788907793,0.7371779259503891,0.005022690887052269,0.20510030370691418,0.03418338395115236,0.0031075803591956693,0.0031075803591956693,6
1,2021-01-29,2021-02-26,TTWO,TTWO,Communication Services,0.2,-0.07977046883242445,0.0278056199000658,0.1099145705321884,0.0919192587030242,-0.0011326615807789,0.3094308316009315,0.7351573881135401,0.08827576309614298,-0.16804623192856744,-0.03360924638571349,-0.0030553860350648627,0.0030553860350648627,7
1,2021-01-29,2021-02-26,EQIX,EQIX,Real Estate,0.16666666666666666,-0.12003285270188768,0.0278056199000658,0.0580103357541274,-0.0324513480707032,0.0015404288638026,0.2073589863141854,0.7441767435621931,0.050476116774573775,-0.17050896947646146,-0.028418161579410243,-0.00258346923449184,0.00258346923449184,8
1,2021-01-29,2021-02-26,TMUS,TMUS,Communication Services,0.2,-0.048461171788674706,0.0278056199000658,0.1099145705321884,0.0919192587030242,-0.0011326615807789,0.3094308316009315,0.7351573881135401,0.08827576309614298,-0.1367369348848177,-0.02734738697696354,-0.0024861260888148673,0.0024861260888148673,9
1,2021-01-29,2021-02-26,AES,AES,Utilities,0.2,0.08897060211677976,0.0278056199000658,-0.0504634627626015,-0.0533658754647152,-0.0014223123571198,0.2891936228087799,0.8156062910268472,-0.0345394220999527,0.12351002421673246,0.024702004843346493,0.0022456368039405904,0.0022456368039405904,10
1,2021-01-29,2021-02-26,CLX,CLX,Consumer Staples,0.16666666666666666,-0.13563456686508935,0.0278056199000658,-0.0044732064568394,0.0060710696079246,0.0054621092043662,0.1027896788907793,0.7371779259503891,0.005022690887052269,-0.1406572577521416,-0.0234428762920236,-0.0021311705720021457,0.0021311705720021457,11
1,2021-01-29,2021-02-26,BBWI,BBWI,Consumer Discretionary,0.08333333333333333,0.3410201942171329,0.0278056199000658,0.1053151552873296,0.0346186520493032,-0.0041146616731395,0.5208667093579545,0.5893014073301694,0.0724307292898845,0.26858946492724844,0.022382455410604036,0.002034768673691276,0.002034768673691276,12
1,2021-01-29,2021-02-26,ALB,ALB,Materials,0.2,-0.03350535367236995,0.0278056199000658,0.0622505602323511,0.0416626110129398,0.0022780784293218,0.2501318203732707,0.911333598170212,0.06596417579619254,-0.0994695294685625,-0.0198939058937125,-0.001808536899428409,0.001808536899428409,13
1,2021-01-29,2021-02-26,DLR,DLR,Real Estate,0.16666666666666666,-0.06405006617924913,0.0278056199000658,0.0580103357541274,-0.0324513480707032,0.0015404288638026,0.2073589863141854,0.7441767435621931,0.050476116774573775,-0.11452618295382291,-0.019087697158970483,-0.001735245196270044,0.001735245196270044,14
1,2021-01-29,2021-02-26,TSLA,TSLA,Consumer Discretionary,0.08333333333333333,-0.14874045049488016,0.0278056199000658,0.1053151552873296,0.0346186520493032,-0.0041146616731395,0.5208667093579545,0.5893014073301694,0.0724307292898845,-0.22117117978476467,-0.018430931648730386,-0.0016755392407936714,0.0016755392407936714,15
2,2021-02-26,2021-03-31,PSKY,PSKY,Communication Services,0.2,-0.2987160770967028,0.0453992639932083,0.0064155029680799,-0.0919885634648784,-0.0011326615807789,0.3094308316009315,0.7351573881135401,0.017631674836158052,-0.31634775193286085,-0.06326955038657217,-0.005751777307870198,0.005751777307870198,1
