analysis_month_number,commonality_factor_equal_weight_residual,positive_residual_sector_count,cross_sector_residual_std
1,-0.02657051008929606,3,0.03912166276587902
2,-0.03561219084146316,1,0.03614067181776985
3,-0.0010463437925989133,6,0.037775910142385474
4,0.005791776203489693,6,0.018835697245195477
5,-0.0026792784585861333,4,0.04026205872854656
6,-0.010128528556561172,2,0.031078491816276223
7,0.012173374055108033,9,0.020068838742750682
8,0.0038951094595815025,5,0.025107471699222582
9,0.016116551921969733,8,0.02689625045479636
10,-0.008965953670878752,2,0.02244309892797585
11,-0.006844951103941435,4,0.023610416745485432
12,-0.02899315602669469,1,0.026202873510228302
13,0.011949420784529308,5,0.050870940820433655
14,0.015840751676727997,7,0.046355676983831334
15,-0.008876295590203039,4,0.018020692881951197
16,-0.014174744318911376,3,0.03127846562261869
17,0.008358802708851157,7,0.039168349379661425
18,-0.00923850638237508,4,0.03247999737980487
19,0.02032715356552983,9,0.021239667236596198
20,0.013974997835212005,9,0.019576931928712644
21,0.017592502371713368,8,0.02274187259664233
22,-0.030404766723900186,1,0.03226005100560356
23,-0.0072981595634097,6,0.03878314498564107
24,-0.031212041259723676,2,0.035862564286809374
25,0.013872969024299318,8,0.019738427824383818
26,0.004974391368723002,5,0.026654112153762923
27,-0.004284561570165012,6,0.0329877145138733
28,-0.00038282129471419406,6,0.027555625187224105
29,0.0005910370618961249,5,0.02385408623555056
30,-0.01646261761042568,3,0.02756816581782786
31,0.006727069761147586,8,0.02353235656670286
32,-2.9990140570888204e-05,6,0.020509765604123476
33,0.004815915954598254,6,0.01894209154739148
34,0.012626770020085727,7,0.03016078316973056
35,-0.024661361373650156,1,0.03434305314587468
36,0.028178575981257194,9,0.028188056632867928
37,0.023164664529363863,10,0.023411620077299574
38,6.43981556931439e-05,6,0.01914976596832272
39,-0.004769181845790811,3,0.019075045334014468
40,0.0055399871344600305,7,0.031328742998095495
41,0.003482819734323546,6,0.022124784134394015
42,-0.024609353864291104,3,0.0366316263312271
43,0.020204702480595246,9,0.024461189272799104
44,0.013155947340316306,7,0.03206108591063558
45,0.019366361172519525,8,0.0360774166291465
46,0.02154654144235739,7,0.022070177610192254
47,-0.0059751641454837915,3,0.023521100590851888
48,0.025269800301936148,9,0.037112996419577333
49,-2.5337452551444826e-06,6,0.03693004324059064
50,-0.02537312704171858,1,0.025584863458193583
51,0.01824216944852403,8,0.0363430029603078
52,-0.005056367658122742,6,0.039257423221332424
53,-0.010812540835162438,2,0.018022528636857077
54,-0.006312806259365922,6,0.03449403036240922
55,-0.017518548572561878,2,0.035072625216966705
56,0.03680428906926206,9,0.037695176475185985
57,-0.014780337517381807,3,0.02891385202191973
58,0.0031069545891763916,4,0.027626625521064874
59,-0.004679065300044145,3,0.043921215657127366
