metric,value
top_10_security_absolute_contribution_share,0.11343212335778402
top_25_security_absolute_contribution_share,0.225069114411262
security_absolute_contribution_hhi,0.004266965106321237
top_10_month_absolute_factor_share,0.37791802832335697
top_3_sector_absolute_variance_share,0.35670173453251386
residual_factor_pc1_correlation,0.9633604657132759
