analysis_month_number,ranking_month_end_date,security_key,project_ticker,gics_sector,sector_momentum_quintile,sector_neutral_leg_weight
1,2021-01-29,ATVI,ATVI,Communication Services,5,0.018181818181818184
1,2021-01-29,NFLX,NFLX,Communication Services,5,0.018181818181818184
1,2021-01-29,TMUS,TMUS,Communication Services,5,0.018181818181818184
1,2021-01-29,TTWO,TTWO,Communication Services,5,0.018181818181818184
1,2021-01-29,TWTR,TWTR,Communication Services,5,0.018181818181818184
1,2021-01-29,AMZN,AMZN,Consumer Discretionary,5,0.007575757575757576
1,2021-01-29,APTV,APTV,Consumer Discretionary,5,0.007575757575757576
1,2021-01-29,BBWI,BBWI,Consumer Discretionary,5,0.007575757575757576
1,2021-01-29,CMG,CMG,Consumer Discretionary,5,0.007575757575757576
1,2021-01-29,EBAY,EBAY,Consumer Discretionary,5,0.007575757575757576
1,2021-01-29,ETSY,ETSY,Consumer Discretionary,5,0.007575757575757576
1,2021-01-29,LOW,LOW,Consumer Discretionary,5,0.007575757575757576
1,2021-01-29,NKE,NKE,Consumer Discretionary,5,0.007575757575757576
1,2021-01-29,POOL,POOL,Consumer Discretionary,5,0.007575757575757576
1,2021-01-29,TGT,TGT,Consumer Discretionary,5,0.007575757575757576
1,2021-01-29,TSCO,TSCO,Consumer Discretionary,5,0.007575757575757576
1,2021-01-29,TSLA,TSLA,Consumer Discretionary,5,0.007575757575757576
1,2021-01-29,CLX,CLX,Consumer Staples,5,0.015151515151515152
1,2021-01-29,COST,COST,Consumer Staples,5,0.015151515151515152
1,2021-01-29,EL,EL,Consumer Staples,5,0.015151515151515152
1,2021-01-29,KHC,KHC,Consumer Staples,5,0.015151515151515152
1,2021-01-29,MNST,MNST,Consumer Staples,5,0.015151515151515152
1,2021-01-29,WMT,WMT,Consumer Staples,5,0.015151515151515152
1,2021-01-29,BKR,BKR,Energy,5,0.022727272727272728
1,2021-01-29,CTRA,CTRA,Energy,5,0.022727272727272728
1,2021-01-29,HES,HES,Energy,5,0.022727272727272728
1,2021-01-29,WMB,WMB,Energy,5,0.022727272727272728
1,2021-01-29,AJG,AJG,Financials,5,0.006993006993006994
1,2021-01-29,AMP,AMP,Financials,5,0.006993006993006994
1,2021-01-29,BLK,BLK,Financials,5,0.006993006993006994
1,2021-01-29,DFS,DFS,Financials,5,0.006993006993006994
1,2021-01-29,FRC,FRC,Financials,5,0.006993006993006994
1,2021-01-29,ICE,ICE,Financials,5,0.006993006993006994
1,2021-01-29,MKTX,MKTX,Financials,5,0.006993006993006994
1,2021-01-29,MS,MS,Financials,5,0.006993006993006994
1,2021-01-29,MSCI,MSCI,Financials,5,0.006993006993006994
1,2021-01-29,PGR,PGR,Financials,5,0.006993006993006994
1,2021-01-29,SCHW,SCHW,Financials,5,0.006993006993006994
1,2021-01-29,SIVB,SIVB,Financials,5,0.006993006993006994
1,2021-01-29,TROW,TROW,Financials,5,0.006993006993006994
1,2021-01-29,ABMD,ABMD,Health Care,5,0.007575757575757576
1,2021-01-29,ALGN,ALGN,Health Care,5,0.007575757575757576
1,2021-01-29,ALXN,ALXN,Health Care,5,0.007575757575757576
1,2021-01-29,BIO,BIO,Health Care,5,0.007575757575757576
1,2021-01-29,CTLT,CTLT,Health Care,5,0.007575757575757576
1,2021-01-29,DVA,DVA,Health Care,5,0.007575757575757576
1,2021-01-29,DXCM,DXCM,Health Care,5,0.007575757575757576
1,2021-01-29,IDXX,IDXX,Health Care,5,0.007575757575757576
1,2021-01-29,MTD,MTD,Health Care,5,0.007575757575757576
1,2021-01-29,RVTY,RVTY,Health Care,5,0.007575757575757576
1,2021-01-29,TMO,TMO,Health Care,5,0.007575757575757576
1,2021-01-29,WST,WST,Health Care,5,0.007575757575757576
1,2021-01-29,CAT,CAT,Industrials,5,0.006493506493506493
1,2021-01-29,CMI,CMI,Industrials,5,0.006493506493506493
1,2021-01-29,DE,DE,Industrials,5,0.006493506493506493
1,2021-01-29,FAST,FAST,Industrials,5,0.006493506493506493
1,2021-01-29,FDX,FDX,Industrials,5,0.006493506493506493
1,2021-01-29,GWW,GWW,Industrials,5,0.006493506493506493
1,2021-01-29,ODFL,ODFL,Industrials,5,0.006493506493506493
1,2021-01-29,PH,PH,Industrials,5,0.006493506493506493
1,2021-01-29,PWR,PWR,Industrials,5,0.006493506493506493
1,2021-01-29,ROK,ROK,Industrials,5,0.006493506493506493
1,2021-01-29,ROL,ROL,Industrials,5,0.006493506493506493
1,2021-01-29,TT,TT,Industrials,5,0.006493506493506493
1,2021-01-29,UPS,UPS,Industrials,5,0.006493506493506493
1,2021-01-29,URI,URI,Industrials,5,0.006493506493506493
1,2021-01-29,AAPL,AAPL,Information Technology,5,0.006493506493506493
1,2021-01-29,AMD,AMD,Information Technology,5,0.006493506493506493
1,2021-01-29,CDNS,CDNS,Information Technology,5,0.006493506493506493
1,2021-01-29,ENPH,ENPH,Information Technology,5,0.006493506493506493
1,2021-01-29,IPGP,IPGP,Information Technology,5,0.006493506493506493
