analysis_month_number,ranking_month_end_date,return_period_end_date,gics_sector,winner_sector_return,sector_equal_weight_return,spy_return,winner_active_vs_sector
27,2023-03-31,2023-04-28,Communication Services,-0.03901490144760272,-0.0060124819116029364,0.015974919031681134,-0.033002419535999784
27,2023-03-31,2023-04-28,Consumer Discretionary,0.04341343845830727,0.015565086673555464,0.015974919031681134,0.02784835178475181
27,2023-03-31,2023-04-28,Consumer Staples,0.028483637213291214,0.03328644849233082,0.015974919031681134,-0.0048028112790396045
27,2023-03-31,2023-04-28,Energy,-0.04737334868835613,0.020764248735146987,0.015974919031681134,-0.06813759742350312
27,2023-03-31,2023-04-28,Financials,0.0339761264293885,0.002547072825866588,0.015974919031681134,0.03142905360352191
27,2023-03-31,2023-04-28,Health Care,0.04376611576300993,0.026887848069731428,0.015974919031681134,0.0168782676932785
27,2023-03-31,2023-04-28,Industrials,-0.00459670460957749,-0.009253742812862674,0.015974919031681134,0.0046570382032851835
27,2023-03-31,2023-04-28,Information Technology,-0.0572671921887938,-0.050034427119076665,0.015974919031681134,-0.007232765069717137
27,2023-03-31,2023-04-28,Materials,-0.04359050580478739,-0.011792363915959139,0.015974919031681134,-0.03179814188882825
27,2023-03-31,2023-04-28,Real Estate,0.025025384820398695,0.016275015327581813,0.015974919031681134,0.008750369492816882
27,2023-03-31,2023-04-28,Utilities,0.017764188482200776,0.01890796063126294,0.015974919031681134,-0.0011437721490621632
28,2023-04-28,2023-05-31,Communication Services,0.04157308291473552,-0.015489580221475526,0.004616200902601619,0.05706266313621105
28,2023-04-28,2023-05-31,Consumer Discretionary,-0.087062305543678,-0.05461220066160468,0.004616200902601619,-0.03245010488207332
28,2023-04-28,2023-05-31,Consumer Staples,-0.03004354854815275,-0.05980300479661098,0.004616200902601619,0.02975945624845823
28,2023-04-28,2023-05-31,Energy,-0.11198832758572366,-0.0901561233436838,0.004616200902601619,-0.021832204242039868
28,2023-04-28,2023-05-31,Financials,-0.07022126770495027,-0.06706510024242417,0.004616200902601619,-0.003156167462526102
28,2023-04-28,2023-05-31,Health Care,-0.05804672784672005,-0.06349344806439608,0.004616200902601619,0.005446720217676032
28,2023-04-28,2023-05-31,Industrials,-0.029277674325253536,-0.026886023338418188,0.004616200902601619,-0.002391650986835348
28,2023-04-28,2023-05-31,Information Technology,0.09967022721813427,0.06504216721925754,0.004616200902601619,0.034628059998876734
28,2023-04-28,2023-05-31,Materials,-0.04639041704188944,-0.07542276696058023,0.004616200902601619,0.02903234991869079
28,2023-04-28,2023-05-31,Real Estate,-0.048869412262711964,-0.04922611006262597,0.004616200902601619,0.00035669779991400613
28,2023-04-28,2023-05-31,Utilities,-0.036514032400066634,-0.057338992982480796,0.004616200902601619,0.020824960582414162
29,2023-05-31,2023-06-30,Communication Services,0.08284961375915229,0.06331521300398595,0.06479971566456366,0.01953440075516634
29,2023-05-31,2023-06-30,Consumer Discretionary,0.10028341379360879,0.12870948729210552,0.06479971566456366,-0.028426073498496726
29,2023-05-31,2023-06-30,Consumer Staples,-0.020045117057815864,0.01638045252971014,0.06479971566456366,-0.036425569587526005
29,2023-05-31,2023-06-30,Energy,0.09772706039159301,0.08614466266196062,0.06479971566456366,0.01158239772963239
29,2023-05-31,2023-06-30,Financials,0.06871733430686727,0.06907791615230854,0.06479971566456366,-0.00036058184544127125
29,2023-05-31,2023-06-30,Health Care,0.07742481445448667,0.06442425082617488,0.06479971566456366,0.013000563628311784
29,2023-05-31,2023-06-30,Industrials,0.130310581326769,0.13311712672334816,0.06479971566456366,-0.002806545396579152
29,2023-05-31,2023-06-30,Information Technology,0.02553102171488959,0.054013728188292164,0.06479971566456366,-0.028482706473402574
29,2023-05-31,2023-06-30,Materials,0.1532484940933289,0.09918967680112445,0.06479971566456366,0.054058817292204464
29,2023-05-31,2023-06-30,Real Estate,0.045679506736652886,0.06921089556179653,0.06479971566456366,-0.023531388825143648
29,2023-05-31,2023-06-30,Utilities,0.04209854364898397,0.0226209885741452,0.06479971566456366,0.01947755507483877
30,2023-06-30,2023-07-31,Communication Services,-0.0291722599054981,0.019970772715599917,0.03273347497692103,-0.049143032621098016
30,2023-06-30,2023-07-31,Consumer Discretionary,0.031932983767053114,0.03391664355768717,0.03273347497692103,-0.001983659790634057
30,2023-06-30,2023-07-31,Consumer Staples,-0.008288634379586698,0.01979149894816764,0.03273347497692103,-0.028080133327754338
30,2023-06-30,2023-07-31,Energy,0.11112643642743486,0.109060971392027,0.03273347497692103,0.0020654650354078596
