security_key,project_ticker,winner_months,first_winner_month,last_winner_month,eligible_months,gics_sectors_seen,winner_sector_count,latest_winner_sector,max_consecutive_winner_streak,winner_share_of_eligible_months
FTNT,FTNT,23,7,55,60,Information Technology,1,Information Technology,13,0.38333333333333336
VRTX,VRTX,23,17,52,60,Health Care,1,Health Care,11,0.38333333333333336
SYF,SYF,23,3,57,60,Financials,1,Financials,9,0.38333333333333336
RTX,RTX,23,10,60,60,Industrials,1,Industrials,7,0.38333333333333336
DVN,DVN,22,2,23,60,Energy,1,Energy,22,0.36666666666666664
JCI,JCI,22,3,60,60,Industrials,1,Industrials,12,0.36666666666666664
PEG,PEG,22,1,50,60,Utilities,1,Utilities,12,0.36666666666666664
CNP,CNP,22,3,58,60,Utilities,1,Utilities,11,0.36666666666666664
COF,COF,22,3,58,60,Financials,1,Financials,10,0.36666666666666664
MNST,MNST,22,1,60,60,Consumer Staples,1,Consumer Staples,9,0.36666666666666664
LRCX,LRCX,22,1,60,60,Information Technology,1,Information Technology,8,0.36666666666666664
MS,MS,22,1,60,60,Financials,1,Financials,7,0.36666666666666664
RL,RL,22,10,60,60,Consumer Discretionary,1,Consumer Discretionary,7,0.36666666666666664
PHM,PHM,21,27,47,60,Consumer Discretionary,1,Consumer Discretionary,21,0.35
IPG,IPG,21,5,31,58,Communication Services,1,Communication Services,14,0.3620689655172414
ALB,ALB,21,1,60,60,Materials,1,Materials,12,0.35
STX,STX,21,5,60,60,Information Technology,1,Information Technology,11,0.35
WRB,WRB,21,16,60,60,Financials,1,Financials,11,0.35
DFS,DFS,21,1,52,52,Financials,1,Financials,10,0.40384615384615385
CTVA,CTVA,21,17,58,60,Materials,1,Materials,10,0.35
ENPH,ENPH,21,1,28,56,Information Technology,1,Information Technology,9,0.375
WFC,WFC,21,8,59,60,Financials,1,Financials,8,0.35
TDG,TDG,20,27,46,60,Industrials,1,Industrials,20,0.3333333333333333
ETN,ETN,20,8,48,60,Industrials,1,Industrials,15,0.3333333333333333
ORLY,ORLY,20,13,57,60,Consumer Discretionary,1,Consumer Discretionary,14,0.3333333333333333
VTR,VTR,20,3,60,60,Real Estate,1,Real Estate,14,0.3333333333333333
LYV,LYV,20,6,57,60,Communication Services,1,Communication Services,13,0.3333333333333333
ABBV,ABBV,20,14,59,60,Health Care,1,Health Care,12,0.3333333333333333
GILD,GILD,20,24,60,60,Health Care,1,Health Care,12,0.3333333333333333
MO,MO,20,4,58,60,Consumer Staples,1,Consumer Staples,12,0.3333333333333333
AMAT,AMAT,20,3,43,60,Information Technology,1,Information Technology,11,0.3333333333333333
DE,DE,20,1,56,60,Industrials,1,Industrials,9,0.3333333333333333
PCAR,PCAR,20,19,41,60,Industrials,1,Industrials,8,0.3333333333333333
CDNS,CDNS,20,1,36,60,Information Technology,1,Information Technology,7,0.3333333333333333
JPM,JPM,20,27,60,60,Financials,1,Financials,5,0.3333333333333333
MRO,MRO,19,3,23,46,Energy,1,Energy,17,0.41304347826086957
BNY,BNY,19,14,60,60,Financials,1,Financials,16,0.31666666666666665
CF,CF,19,10,56,60,Materials,1,Materials,16,0.31666666666666665
TRGP,TRGP,19,34,53,39,Energy,1,Energy,15,0.48717948717948717
FCX,FCX,19,1,41,60,Materials,1,Materials,13,0.31666666666666665
BKNG,BKNG,19,30,57,60,Consumer Discretionary,1,Consumer Discretionary,9,0.31666666666666665
DVA,DVA,18,1,50,60,Health Care,1,Health Care,17,0.3
HSY,HSY,18,12,30,60,Consumer Staples,1,Consumer Staples,15,0.3
LW,LW,18,7,37,60,Consumer Staples,1,Consumer Staples,14,0.3
VST,VST,18,41,60,20,Utilities,1,Utilities,12,0.9
IT,IT,18,6,31,60,Information Technology,1,Information Technology,12,0.3
RSG,RSG,18,11,55,60,Industrials,1,Industrials,12,0.3
DLR,DLR,18,1,57,60,Real Estate,1,Real Estate,11,0.3
IDXX,IDXX,18,1,60,60,Health Care,1,Health Care,9,0.3
MSI,MSI,18,12,52,60,Information Technology,1,Information Technology,9,0.3
ULTA,ULTA,18,10,59,60,Consumer Discretionary,1,Consumer Discretionary,9,0.3
AMD,AMD,18,1,60,60,Information Technology,1,Information Technology,8,0.3
AMP,AMP,18,1,40,60,Financials,1,Financials,8,0.3
FITB,FITB,18,3,47,60,Financials,1,Financials,8,0.3
WST,WST,18,1,37,60,Health Care,1,Health Care,7,0.3
SNPS,SNPS,18,1,36,60,Information Technology,1,Information Technology,6,0.3
ORCL,ORCL,18,10,58,60,Information Technology,1,Information Technology,5,0.3
PCG,PCG,17,23,39,39,Utilities,1,Utilities,17,0.4358974358974359
ON,ON,17,18,34,43,Information Technology,1,Information Technology,17,0.3953488372093023
AZO,AZO,17,11,53,60,Consumer Discretionary,1,Consumer Discretionary,16,0.2833333333333333
EG,EG,17,19,36,60,Financials,1,Financials,16,0.2833333333333333
AFL,AFL,17,21,52,60,Financials,1,Financials,15,0.2833333333333333
WMB,WMB,17,1,57,60,Energy,1,Energy,14,0.2833333333333333
DHI,DHI,17,12,46,60,Consumer Discretionary,1,Consumer Discretionary,13,0.2833333333333333
DLTR,DLTR,17,14,60,60,Consumer Discretionary | Consumer Staples,2,Consumer Staples,12,0.2833333333333333
UBER,UBER,17,36,60,25,Industrials,1,Industrials,11,0.68
AES,AES,17,1,29,60,Utilities,1,Utilities,11,0.2833333333333333
NI,NI,17,13,57,60,Utilities,1,Utilities,11,0.2833333333333333
CCL,CCL,17,10,57,60,Consumer Discretionary,1,Consumer Discretionary,10,0.2833333333333333
GL,GL,17,20,59,60,Financials,1,Financials,10,0.2833333333333333
TAP,TAP,17,5,40,60,Consumer Staples,1,Consumer Staples,9,0.2833333333333333
CMA,CMA,17,3,41,41,Financials,1,Financials,7,0.4146341463414634
BRO,BRO,17,13,52,52,Financials,1,Financials,6,0.3269230769230769
FISV,FISV,17,22,52,60,Financials | Information Technology,2,Financials,6,0.2833333333333333
GOOG,GOOG,17,8,60,60,Communication Services,1,Communication Services,6,0.2833333333333333
CAT,CAT,17,1,60,60,Industrials,1,Industrials,4,0.2833333333333333
PLTR,PLTR,16,45,60,16,Information Technology,1,Information Technology,16,1.0
PODD,PODD,16,28,59,34,Health Care,1,Health Care,12,0.47058823529411764
EQIX,EQIX,16,1,54,60,Real Estate,1,Real Estate,12,0.26666666666666666
GD,GD,16,11,59,60,Industrials,1,Industrials,12,0.26666666666666666
ETR,ETR,16,40,60,60,Utilities,1,Utilities,11,0.26666666666666666
WAB,WAB,16,16,55,60,Industrials,1,Industrials,11,0.26666666666666666
T,T,16,18,54,60,Communication Services,1,Communication Services,10,0.26666666666666666
EBAY,EBAY,16,1,60,60,Consumer Discretionary,1,Consumer Discretionary,9,0.26666666666666666
FANG,FANG,16,5,44,60,Energy,1,Energy,7,0.26666666666666666
GLW,GLW,16,4,60,60,Information Technology,1,Information Technology,7,0.26666666666666666
CMG,CMG,16,1,45,60,Consumer Discretionary,1,Consumer Discretionary,5,0.26666666666666666
RJF,RJF,16,4,57,60,Financials,1,Financials,5,0.26666666666666666
SCHW,SCHW,16,1,60,60,Financials,1,Financials,5,0.26666666666666666
ACGL,ACGL,15,23,43,38,Financials,1,Financials,14,0.39473684210526316
GRMN,GRMN,15,9,57,60,Consumer Discretionary,1,Consumer Discretionary,13,0.25
OMC,OMC,15,16,32,60,Communication Services,1,Communication Services,13,0.25
EL,EL,15,1,60,60,Consumer Staples,1,Consumer Staples,11,0.25
F,F,15,4,60,60,Consumer Discretionary,1,Consumer Discretionary,11,0.25
OXY,OXY,15,5,25,60,Energy,1,Energy,10,0.25
ZBRA,ZBRA,15,1,49,60,Information Technology,1,Information Technology,10,0.25
TMUS,TMUS,15,1,51,60,Communication Services,1,Communication Services,9,0.25
LEN,LEN,15,28,46,60,Consumer Discretionary,1,Consumer Discretionary,8,0.25
AXP,AXP,15,10,59,60,Financials,1,Financials,7,0.25
EXR,EXR,15,7,46,60,Real Estate,1,Real Estate,7,0.25
GOOGL,GOOGL,15,8,60,60,Communication Services,1,Communication Services,7,0.25
MLM,MLM,15,8,59,60,Materials,1,Materials,7,0.25
PNR,PNR,15,2,50,60,Industrials,1,Industrials,6,0.25
MPWR,MPWR,15,2,59,59,Information Technology,1,Information Technology,4,0.2542372881355932
CMI,CMI,15,1,60,60,Industrials,1,Industrials,4,0.25
CTAS,CTAS,15,16,53,60,Industrials,1,Industrials,3,0.25
ED,ED,14,14,27,60,Utilities,1,Utilities,14,0.23333333333333334
EXC,EXC,14,8,21,60,Utilities,1,Utilities,14,0.23333333333333334
BBWI,BBWI,14,1,42,45,Consumer Discretionary,1,Consumer Discretionary,13,0.3111111111111111
UAL,UAL,14,30,57,60,Industrials,1,Industrials,11,0.23333333333333334
STLD,STLD,14,24,60,37,Materials,1,Materials,10,0.3783783783783784
ADP,ADP,14,17,54,60,Industrials | Information Technology,2,Industrials,10,0.23333333333333334
DG,DG,14,17,60,60,Consumer Discretionary | Consumer Staples,2,Consumer Staples,8,0.23333333333333334
EIX,EIX,14,17,45,60,Utilities,1,Utilities,8,0.23333333333333334
PAYX,PAYX,14,13,54,60,Industrials | Information Technology,2,Industrials,8,0.23333333333333334
NTAP,NTAP,14,6,46,60,Information Technology,1,Information Technology,7,0.23333333333333334
CBOE,CBOE,14,27,60,60,Financials,1,Financials,6,0.23333333333333334
LH,LH,14,3,58,60,Health Care,1,Health Care,6,0.23333333333333334
UHS,UHS,14,6,60,60,Health Care,1,Health Care,6,0.23333333333333334
HST,HST,14,18,42,60,Real Estate,1,Real Estate,5,0.23333333333333334
HIG,HIG,14,10,60,60,Financials,1,Financials,4,0.23333333333333334
REG,REG,14,7,54,60,Real Estate,1,Real Estate,4,0.23333333333333334
GDDY,GDDY,13,42,54,19,Information Technology,1,Information Technology,13,0.6842105263157895
SIVB,SIVB,13,1,13,26,Financials,1,Financials,13,0.5
VICI,VICI,13,20,58,43,Real Estate,1,Real Estate,11,0.3023255813953488
K,K,13,22,55,59,Consumer Staples,1,Consumer Staples,11,0.22033898305084745
MMM,MMM,13,44,60,60,Industrials,1,Industrials,11,0.21666666666666667
O,O,13,19,60,60,Real Estate,1,Real Estate,11,0.21666666666666667
SYK,SYK,13,28,48,60,Health Care,1,Health Care,11,0.21666666666666667
ALGN,ALGN,13,1,34,60,Health Care,1,Health Care,10,0.21666666666666667
CARR,CARR,13,3,34,58,Industrials,1,Industrials,8,0.22413793103448276
EQT,EQT,13,22,60,39,Energy,1,Energy,7,0.3333333333333333
MRK,MRK,13,17,43,60,Health Care,1,Health Care,7,0.21666666666666667
AIG,AIG,13,4,41,60,Financials,1,Financials,5,0.21666666666666667
ECL,ECL,13,35,59,60,Materials,1,Materials,5,0.21666666666666667
MU,MU,13,3,60,60,Information Technology,1,Information Technology,5,0.21666666666666667
ODFL,ODFL,13,1,36,60,Industrials,1,Industrials,5,0.21666666666666667
ATO,ATO,13,21,58,60,Utilities,1,Utilities,4,0.21666666666666667
TXT,TXT,12,4,15,60,Industrials,1,Industrials,12,0.2
RHI,RHI,12,3,17,41,Industrials,1,Industrials,11,0.2926829268292683
NEM,NEM,12,45,60,60,Materials,1,Materials,11,0.2
GNRC,GNRC,12,3,50,58,Industrials,1,Industrials,10,0.20689655172413793
IVZ,IVZ,12,2,60,60,Financials,1,Financials,9,0.2
KMI,KMI,12,45,57,60,Energy,1,Energy,9,0.2
NWSA,NWSA,12,2,45,60,Communication Services,1,Communication Services,9,0.2
WYNN,WYNN,12,26,60,60,Consumer Discretionary,1,Consumer Discretionary,9,0.2
CI,CI,12,20,42,60,Health Care,1,Health Care,8,0.2
IR,IR,12,27,44,60,Industrials,1,Industrials,8,0.2
WAT,WAT,12,4,52,60,Health Care,1,Health Care,8,0.2
APH,APH,12,22,60,60,Information Technology,1,Information Technology,7,0.2
CHRW,CHRW,12,17,60,60,Industrials,1,Industrials,6,0.2
IBM,IBM,12,19,55,60,Information Technology,1,Information Technology,6,0.2
WDC,WDC,12,8,60,60,Information Technology,1,Information Technology,6,0.2
AAPL,AAPL,12,1,52,60,Information Technology,1,Information Technology,5,0.2
CFG,CFG,12,3,60,60,Financials,1,Financials,5,0.2
PKG,PKG,12,1,49,60,Materials,1,Materials,5,0.2
REGN,REGN,12,14,45,60,Health Care,1,Health Care,5,0.2
EXPE,EXPE,12,3,60,60,Consumer Discretionary,1,Consumer Discretionary,3,0.2
CPRT,CPRT,11,28,38,60,Industrials,1,Industrials,11,0.18333333333333332
GIS,GIS,11,19,29,60,Consumer Staples,1,Consumer Staples,11,0.18333333333333332
LMT,LMT,11,15,25,60,Industrials,1,Industrials,11,0.18333333333333332
LVS,LVS,11,22,32,60,Consumer Discretionary,1,Consumer Discretionary,11,0.18333333333333332
NOC,NOC,11,15,25,60,Industrials,1,Industrials,11,0.18333333333333332
PSA,PSA,11,14,46,60,Real Estate,1,Real Estate,10,0.18333333333333332
CHD,CHD,11,31,43,60,Consumer Staples,1,Consumer Staples,9,0.18333333333333332
LIN,LIN,11,27,53,60,Materials,1,Materials,9,0.18333333333333332
KIM,KIM,11,3,24,60,Real Estate,1,Real Estate,8,0.18333333333333332
PFG,PFG,11,18,31,60,Financials,1,Financials,8,0.18333333333333332
ALL,ALL,11,22,45,60,Financials,1,Financials,7,0.18333333333333332
AMZN,AMZN,11,1,50,60,Consumer Discretionary,1,Consumer Discretionary,7,0.18333333333333332
BA,BA,11,28,59,60,Industrials,1,Industrials,7,0.18333333333333332
FDX,FDX,11,1,36,60,Industrials,1,Industrials,7,0.18333333333333332
MAA,MAA,11,8,53,60,Real Estate,1,Real Estate,7,0.18333333333333332
TSCO,TSCO,11,1,25,60,Consumer Discretionary,1,Consumer Discretionary,7,0.18333333333333332
MTB,MTB,11,18,51,60,Financials,1,Financials,6,0.18333333333333332
TSN,TSN,11,10,47,60,Consumer Staples,1,Consumer Staples,6,0.18333333333333332
LDOS,LDOS,11,20,48,60,Industrials,1,Industrials,5,0.18333333333333332
MGM,MGM,11,3,32,60,Consumer Discretionary,1,Consumer Discretionary,5,0.18333333333333332
LKQ,LKQ,11,9,27,59,Consumer Discretionary,1,Consumer Discretionary,4,0.1864406779661017
AMGN,AMGN,11,22,60,60,Health Care,1,Health Care,4,0.18333333333333332
DXCM,DXCM,11,1,56,60,Health Care,1,Health Care,4,0.18333333333333332
HLT,HLT,11,13,48,60,Consumer Discretionary,1,Consumer Discretionary,4,0.18333333333333332
SHW,SHW,11,37,54,60,Materials,1,Materials,4,0.18333333333333332
MRSH,MRSH,11,13,35,60,Financials,1,Financials,3,0.18333333333333332
GEV,GEV,10,51,60,10,Industrials,1,Industrials,10,1.0
KKR,KKR,10,42,51,19,Financials,1,Financials,10,0.5263157894736842
GPC,GPC,10,18,27,60,Consumer Discretionary,1,Consumer Discretionary,10,0.16666666666666666
FSLR,FSLR,10,24,46,37,Information Technology,1,Information Technology,9,0.2702702702702703
