security_key,project_ticker,winner_months,first_winner_month,last_winner_month,eligible_months,gics_sectors_seen,winner_sector_count,latest_winner_sector,max_consecutive_winner_streak,winner_share_of_eligible_months
NDAQ,NDAQ,8,2,56,60,Financials,1,Financials,3,0.13333333333333333
NVR,NVR,8,29,47,60,Consumer Discretionary,1,Consumer Discretionary,3,0.13333333333333333
OKE,OKE,8,4,48,60,Energy,1,Energy,3,0.13333333333333333
TTWO,TTWO,8,1,58,60,Communication Services,1,Communication Services,3,0.13333333333333333
WY,WY,8,1,20,60,Real Estate,1,Real Estate,3,0.13333333333333333
SO,SO,8,18,43,60,Utilities,1,Utilities,2,0.13333333333333333
MRNA,MRNA,7,7,13,54,Health Care,1,Health Care,7,0.12962962962962962
ADBE,ADBE,7,32,38,60,Information Technology,1,Information Technology,7,0.11666666666666667
FOX,FOX,7,48,54,60,Communication Services,1,Communication Services,7,0.11666666666666667
TWTR,TWTR,7,1,8,21,Communication Services,1,Communication Services,6,0.3333333333333333
BLDR,BLDR,7,36,46,25,Industrials,1,Industrials,6,0.28
ABT,ABT,7,51,58,60,Health Care,1,Health Care,6,0.11666666666666667
VRSN,VRSN,7,29,57,60,Information Technology,1,Information Technology,6,0.11666666666666667
FDS,FDS,7,13,21,49,Financials,1,Financials,5,0.14285714285714285
PTC,PTC,7,4,27,57,Information Technology,1,Information Technology,5,0.12280701754385964
SYY,SYY,7,3,19,60,Consumer Staples,1,Consumer Staples,5,0.11666666666666667
HES,HES,7,1,31,54,Energy,1,Energy,4,0.12962962962962962
APD,APD,7,26,52,60,Materials,1,Materials,4,0.11666666666666667
DPZ,DPZ,7,14,43,60,Consumer Discretionary,1,Consumer Discretionary,4,0.11666666666666667
MET,MET,7,18,41,60,Financials,1,Financials,4,0.11666666666666667
PSKY,PSKY,7,2,60,60,Communication Services,1,Communication Services,4,0.11666666666666667
ROL,ROL,7,1,53,60,Industrials,1,Industrials,4,0.11666666666666667
AON,AON,7,16,53,60,Financials,1,Financials,3,0.11666666666666667
DD,DD,7,1,49,60,Materials,1,Materials,3,0.11666666666666667
EW,EW,7,10,59,60,Health Care,1,Health Care,3,0.11666666666666667
KEY,KEY,7,5,46,60,Financials,1,Financials,3,0.11666666666666667
MCO,MCO,7,30,38,60,Financials,1,Financials,3,0.11666666666666667
CLX,CLX,7,1,49,60,Consumer Staples,1,Consumer Staples,2,0.11666666666666667
QCOM,QCOM,7,1,44,60,Information Technology,1,Information Technology,2,0.11666666666666667
PVH,PVH,6,5,10,20,Consumer Discretionary,1,Consumer Discretionary,6,0.3
DXC,DXC,6,5,10,33,Information Technology,1,Information Technology,6,0.18181818181818182
TECH,TECH,6,8,13,53,Health Care,1,Health Care,6,0.11320754716981132
CPAY,CPAY,6,33,38,60,Financials,1,Financials,6,0.1
NTRS,NTRS,6,55,60,60,Financials,1,Financials,6,0.1
SJM,SJM,6,26,31,60,Consumer Staples,1,Consumer Staples,6,0.1
LHX,LHX,6,15,23,60,Industrials,1,Industrials,5,0.1
LOW,LOW,6,1,15,60,Consumer Discretionary,1,Consumer Discretionary,5,0.1
SLB,SLB,6,27,33,60,Energy,1,Energy,5,0.1
BG,BG,6,33,60,34,Consumer Staples,1,Consumer Staples,4,0.17647058823529413
DTE,DTE,6,3,40,60,Utilities,1,Utilities,4,0.1
POOL,POOL,6,1,15,60,Consumer Discretionary,1,Consumer Discretionary,4,0.1
XYL,XYL,6,8,45,60,Industrials,1,Industrials,4,0.1
APTV,APTV,6,1,59,60,Consumer Discretionary,1,Consumer Discretionary,3,0.1
CRM,CRM,6,29,38,60,Information Technology,1,Information Technology,3,0.1
HUM,HUM,6,20,27,60,Health Care,1,Health Care,3,0.1
KHC,KHC,6,1,25,60,Consumer Staples,1,Consumer Staples,3,0.1
FAST,FAST,6,1,57,60,Industrials,1,Industrials,2,0.1
HPE,HPE,6,10,50,60,Information Technology,1,Information Technology,2,0.1
ICE,ICE,6,1,53,60,Financials,1,Financials,2,0.1
MSCI,MSCI,6,1,32,60,Financials,1,Financials,2,0.1
PG,PG,6,17,48,60,Consumer Staples,1,Consumer Staples,2,0.1
VRSK,VRSK,6,17,52,60,Industrials,1,Industrials,2,0.1
IBKR,IBKR,5,56,60,5,Financials,1,Financials,5,1.0
COIN,COIN,5,55,59,8,Financials,1,Financials,5,0.625
GPS,GPS,5,3,7,13,Consumer Discretionary,1,Consumer Discretionary,5,0.38461538461538464
DELL,DELL,5,45,49,16,Information Technology,1,Information Technology,5,0.3125
PENN,PENN,5,3,7,18,Consumer Discretionary,1,Consumer Discretionary,5,0.2777777777777778
NXPI,NXPI,5,3,7,58,Information Technology,1,Information Technology,5,0.08620689655172414
PAYC,PAYC,5,53,57,60,Industrials,1,Industrials,5,0.08333333333333333
TER,TER,5,1,5,60,Information Technology,1,Information Technology,5,0.08333333333333333
XOM,XOM,5,26,30,60,Energy,1,Energy,5,0.08333333333333333
HUBB,HUBB,5,34,40,27,Industrials,1,Industrials,4,0.18518518518518517
SEE,SEE,5,13,19,35,Materials,1,Materials,4,0.14285714285714285
ZION,ZION,5,9,15,38,Financials,1,Financials,4,0.13157894736842105
BR,BR,5,35,52,60,Industrials,1,Industrials,4,0.08333333333333333
CNC,CNC,5,16,22,60,Health Care,1,Health Care,4,0.08333333333333333
PYPL,PYPL,5,1,50,60,Financials | Information Technology,2,Financials,4,0.08333333333333333
ROST,ROST,5,24,30,60,Consumer Discretionary,1,Consumer Discretionary,4,0.08333333333333333
LNC,LNC,5,3,10,32,Financials,1,Financials,3,0.15625
ALK,ALK,5,3,10,35,Industrials,1,Industrials,3,0.14285714285714285
