analysis_month_number_a,analysis_month_number_b,cosine_similarity_top30_security_contributions,absolute_similarity
48,42,-0.6803776797781309,0.6803776797781309
50,48,-0.663521118724818,0.663521118724818
48,37,0.633845124229365,0.633845124229365
22,19,-0.6106602610698995,0.6106602610698995
36,42,-0.5416854397142568,0.5416854397142568
42,43,-0.534950245793496,0.534950245793496
36,43,0.5320241809024225,0.5320241809024225
37,43,0.49791419728202346,0.49791419728202346
46,43,0.4933473854548399,0.4933473854548399
48,43,0.48921175898642244,0.48921175898642244
42,37,-0.4447818190960797,0.4447818190960797
24,12,-0.43656256244455616,0.43656256244455616
50,42,0.38134838184437925,0.38134838184437925
24,19,-0.37824514572653234,0.37824514572653234
50,37,-0.3690993293820104,0.3690993293820104
24,36,0.36241636897939944,0.36241636897939944
36,37,0.3363026488801557,0.3363026488801557
36,48,0.3260380831967611,0.3260380831967611
2,22,0.3031726528817015,0.3031726528817015
50,43,-0.2893242703183183,0.2893242703183183
42,46,-0.2877329969683782,0.2877329969683782
50,46,-0.2876843051109943,0.2876843051109943
48,46,0.26945982304491256,0.26945982304491256
1,43,-0.25620810683606665,0.25620810683606665
24,22,0.2538156724754338,0.2538156724754338
1,46,-0.22301763339848235,0.22301763339848235
12,50,0.21648400024167258,0.21648400024167258
36,50,-0.20223825916841154,0.20223825916841154
2,42,0.19975919604474845,0.19975919604474845
37,46,-0.19952269897613606,0.19952269897613606
1,42,0.1986828008948267,0.1986828008948267
2,43,-0.1850905900716242,0.1850905900716242
12,35,-0.18162356767357757,0.18162356767357757
35,37,-0.17958933701454982,0.17958933701454982
12,36,-0.1749368735196748,0.1749368735196748
12,43,-0.15633940209487895,0.15633940209487895
42,19,0.14722312672549842,0.14722312672549842
12,37,-0.14660844419916197,0.14660844419916197
2,24,0.13762869514742282,0.13762869514742282
56,1,-0.1332883771546427,0.1332883771546427
36,46,0.12420616816738117,0.12420616816738117
56,36,-0.12130418817295063,0.12130418817295063
2,50,0.12078845056100862,0.12078845056100862
22,1,0.11918966752644145,0.11918966752644145
37,19,0.11801179476478452,0.11801179476478452
1,50,0.11495956248485972,0.11495956248485972
35,43,-0.11261248961366954,0.11261248961366954
22,12,-0.1124084319165004,0.1124084319165004
22,36,0.10664901071115729,0.10664901071115729
56,50,0.09379261267377481,0.09379261267377481
2,48,-0.09301554587852645,0.09301554587852645
1,48,-0.09123885745153126,0.09123885745153126
36,1,-0.08394094596414736,0.08394094596414736
36,35,-0.08353156252893168,0.08353156252893168
35,42,-0.07849656247040482,0.07849656247040482
1,35,-0.07667511168298446,0.07667511168298446
19,43,0.07316476743520517,0.07316476743520517
2,46,-0.07260569648867699,0.07260569648867699
48,35,-0.07197891413023272,0.07197891413023272
2,36,-0.06905650891598158,0.06905650891598158
50,19,-0.06795099169554164,0.06795099169554164
46,19,-0.06227994715194418,0.06227994715194418
12,1,-0.060898582620943165,0.060898582620943165
56,22,-0.060699779605418724,0.060699779605418724
2,1,-0.05956979677376739,0.05956979677376739
56,42,0.05934765877375692,0.05934765877375692
56,35,-0.05264140349540325,0.05264140349540325
35,46,-0.04948958328118769,0.04948958328118769
56,19,0.04750886455791814,0.04750886455791814
56,12,0.04676531341734025,0.04676531341734025
12,46,-0.04005075726596807,0.04005075726596807
35,19,0.039724865045074664,0.039724865045074664
48,19,-0.03951984784750673,0.03951984784750673
24,42,0.03918144581524863,0.03918144581524863
56,43,-0.03886324572898481,0.03886324572898481
2,37,-0.038035070704553364,0.038035070704553364
56,48,-0.03546891147212894,0.03546891147212894
2,12,0.0340020598628481,0.0340020598628481
56,2,-0.03315275679147778,0.03315275679147778
24,37,-0.031228828623772298,0.031228828623772298
1,37,-0.030919242727753593,0.030919242727753593
56,24,-0.028294967231748513,0.028294967231748513
36,19,0.025024175009806138,0.025024175009806138
22,42,0.023370286234528193,0.023370286234528193
12,19,0.022382585498195384,0.022382585498195384
22,43,0.020841076351981402,0.020841076351981402
56,37,-0.020402661373567943,0.020402661373567943
2,35,-0.015999492748679067,0.015999492748679067
50,35,-0.01589476745884033,0.01589476745884033
22,50,-0.015002373585565776,0.015002373585565776
1,19,0.014696916532908944,0.014696916532908944
2,19,0.014564615226384858,0.014564615226384858
12,42,0.011247137228979631,0.011247137228979631
22,35,-0.009601615331179758,0.009601615331179758
56,46,0.008625951948854738,0.008625951948854738
24,46,0.008227909292169766,0.008227909292169766
12,48,-0.007920619787398664,0.007920619787398664
24,35,0.005822102163082099,0.005822102163082099
22,46,-0.004391010985621779,0.004391010985621779
22,48,-0.003979729042254521,0.003979729042254521
24,50,-0.003328841250115122,0.003328841250115122
24,43,-0.0031105295626292495,0.0031105295626292495
22,37,-0.0026399754332908643,0.0026399754332908643
24,48,-0.001153199287960982,0.001153199287960982
24,1,0.0,0.0
