analysis_month_number,ranking_month_end_date,return_period_end_date,security_key,project_ticker,gics_sector,sector_equal_weight,forward_return_1m,spy_return,sector_equal_weight_return,winner_sector_return,alpha_monthly,beta_spy,beta_sector_equal_weight,fitted_sector_winner_return,security_return_minus_sector_fitted,sector_residual_contribution,aggregate_commonality_contribution,absolute_commonality_contribution,within_month_absolute_security_rank
1,2021-01-29,2021-02-26,TWTR,TWTR,Communication Services,0.2,0.5250346328913518,0.0278056199000658,0.1099145705321884,0.0919192587030242,-0.0011326615807789,0.3094308316009315,0.7351573881135401,0.0882757630961429,0.4367588697952088,0.0873517739590417,0.0079410703599128,0.0079410703599128,1
1,2021-01-29,2021-02-26,CTRA,CTRA,Energy,0.25,0.0098199672605585,0.0278056199000658,0.2344845774915865,0.1320389213808325,0.003019347214308,0.1509890622137699,1.023029321771844,0.2471022899644666,-0.237282322703908,-0.059320580675977,-0.0053927800614524,0.0053927800614524,2
1,2021-01-29,2021-02-26,WMB,WMB,Energy,0.25,0.0758359541836593,0.0278056199000658,0.2344845774915865,0.1320389213808325,0.003019347214308,0.1509890622137699,1.023029321771844,0.2471022899644666,-0.1712663357808073,-0.0428165839452018,-0.003892416722291,0.003892416722291,3
1,2021-01-29,2021-02-26,FCX,FCX,Materials,0.2,0.2601263741222137,0.0278056199000658,0.0622505602323511,0.0416626110129398,0.0022780784293218,0.2501318203732707,0.911333598170212,0.0659641757961925,0.1941621983260212,0.0388324396652042,0.0035302217877458,0.0035302217877458,4
1,2021-01-29,2021-02-26,DD,DD,Materials,0.2,-0.1110917938485034,0.0278056199000658,0.0622505602323511,0.0416626110129398,0.0022780784293218,0.2501318203732707,0.911333598170212,0.0659641757961925,-0.1770559696446959,-0.0354111939289392,-0.0032191994480853,0.0032191994480853,5
1,2021-01-29,2021-02-26,EL,EL,Consumer Staples,0.1666666666666666,0.2101229945939664,0.0278056199000658,-0.0044732064568394,0.0060710696079246,0.0054621092043662,0.1027896788907793,0.7371779259503891,0.0050226908870522,0.2051003037069141,0.0341833839511523,0.0031075803591956,0.0031075803591956,6
1,2021-01-29,2021-02-26,TTWO,TTWO,Communication Services,0.2,-0.0797704688324244,0.0278056199000658,0.1099145705321884,0.0919192587030242,-0.0011326615807789,0.3094308316009315,0.7351573881135401,0.0882757630961429,-0.1680462319285674,-0.0336092463857134,-0.0030553860350648,0.0030553860350648,7
1,2021-01-29,2021-02-26,EQIX,EQIX,Real Estate,0.1666666666666666,-0.1200328527018876,0.0278056199000658,0.0580103357541274,-0.0324513480707032,0.0015404288638026,0.2073589863141854,0.7441767435621931,0.0504761167745737,-0.1705089694764614,-0.0284181615794102,-0.0025834692344918,0.0025834692344918,8
1,2021-01-29,2021-02-26,TMUS,TMUS,Communication Services,0.2,-0.0484611717886747,0.0278056199000658,0.1099145705321884,0.0919192587030242,-0.0011326615807789,0.3094308316009315,0.7351573881135401,0.0882757630961429,-0.1367369348848177,-0.0273473869769635,-0.0024861260888148,0.0024861260888148,9
1,2021-01-29,2021-02-26,AES,AES,Utilities,0.2,0.0889706021167797,0.0278056199000658,-0.0504634627626015,-0.0533658754647152,-0.0014223123571198,0.2891936228087799,0.8156062910268472,-0.0345394220999527,0.1235100242167324,0.0247020048433464,0.0022456368039405,0.0022456368039405,10
1,2021-01-29,2021-02-26,CLX,CLX,Consumer Staples,0.1666666666666666,-0.1356345668650893,0.0278056199000658,-0.0044732064568394,0.0060710696079246,0.0054621092043662,0.1027896788907793,0.7371779259503891,0.0050226908870522,-0.1406572577521416,-0.0234428762920236,-0.0021311705720021,0.0021311705720021,11
1,2021-01-29,2021-02-26,BBWI,BBWI,Consumer Discretionary,0.0833333333333333,0.3410201942171329,0.0278056199000658,0.1053151552873296,0.0346186520493032,-0.0041146616731395,0.5208667093579545,0.5893014073301694,0.0724307292898845,0.2685894649272484,0.022382455410604,0.0020347686736912,0.0020347686736912,12
2,2021-02-26,2021-03-31,PSKY,PSKY,Communication Services,0.2,-0.2987160770967028,0.0453992639932083,0.0064155029680799,-0.0919885634648784,-0.0011326615807789,0.3094308316009315,0.7351573881135401,0.017631674836158,-0.3163477519328608,-0.0632695503865721,-0.0057517773078701,0.0057517773078701,1
2,2021-02-26,2021-03-31,DISCA,DISCA,Communication Services,0.2,-0.1804638883650763,0.0453992639932083,0.0064155029680799,-0.0919885634648784,-0.0011326615807789,0.3094308316009315,0.7351573881135401,0.017631674836158,-0.1980955632012343,-0.0396191126402468,-0.0036017375127497,0.0036017375127497,2
2,2021-02-26,2021-03-31,BKR,BKR,Energy,0.25,-0.1172383275949049,0.0453992639932083,0.0117068130988904,-0.0052036949341592,0.003019347214308,0.1509890622137699,1.023029321771844,0.0218505525745054,-0.1390888801694104,-0.0347722200423526,-0.0031611109129411,0.0031611109129411,3
2,2021-02-26,2021-03-31,ALB,ALB,Materials,0.2,-0.0682204209461584,0.0453992639932083,0.0595123451968574,-0.0063832097570865,0.0022780784293218,0.2501318203732707,0.911333598170212,0.0678694786593494,-0.1360898996055078,-0.0272179799211015,-0.0024743618110092,0.0024743618110092,4
